상품명,가격,성분,나이,피부타입,피부고민,랭킹,리뷰수
[수분진정] 넘버즈인 1번 청초 진정맑은 물막선크림 50ml+50ml 듀오기획 (SPF50+PA++++),26000,"스페인감초뿌리수(20.55%), 병풀추출물(15%), 약모밀추출물(14.25%), 정제수, 다이부틸아디페이트, 프로판다이올, 부틸옥틸살리실레이트, 에칠헥실트리아존, 테레프탈릴리덴디캠퍼설포닉애씨드, 폴리메틸실세스퀴옥세인, 나이아신아마이드, 트로메타민, 폴리글리세릴-3다이스테아레이트, 1,2-헥산다이올, 펜틸렌글라이콜, 디에칠아미노하이드록시벤조일헥실벤조에이트, 세테아릴알코올, 카프릴릴메티콘, 폴리실리콘-15, 인도멀구슬나무잎추출물, 아이비고드열매추출물, 한련초추출물, 인도멀구슬나무꽃추출물, 트루로즈오브예리코추출물, 히아신스전초추출물, 각시둥굴레뿌리줄기/뿌리추출물, 구기자추출물, 녹용추출물, 소엽맥문동뿌리추출물, 하수오뿌리추출물, 황기뿌리추출물, 모창출뿌리추출물, 다시마추출물, 당느릅나무뿌리추출물, 알로에베라잎추출물, 제비꽃꽃추출물, 참마뿌리추출물, 소듐하이알루로네이트, 글리세릴스테아레이트, 비스-에칠헥실옥시페놀메톡시페닐트리아진, 포타슘세틸포스페이트, 부틸렌글라이콜, 메틸프로판다이올, 카보머, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 글리세릴스테아레이트시트레이트, 에틸헥실글리세린, 잔탄검, 아데노신, 폴리에터-1, 마데카소사이드, 바이오사카라이드검-1, 글리세린, 다이메틸실란올하이알루로네이트, 하이드롤라이즈드소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 포타슘하이알루로네이트, 하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 하이드록시프로필트라이모늄하이알루로네이트, 소듐하이알루로네이트다이메틸실란올, 소듐아세틸레이티드하이알루로네이트",20대,"건성, 복합성",None,11,1912
[올영1위812만개 판매] 달바 워터풀 에센스 선크림 듀오 기획(50ml+50ml),51000,"정제수, 에칠헥실메톡시신나메이트, 호모살레이트, 부틸렌글라이콜, 에칠헥실살리실레이트, 디에칠아미노하이드록시벤조일헥실벤조에이트, 실리카, 에칠헥실트리아존, 나이아신아마이드, 벤조트라이아졸릴도데실p-크레솔, 1,2-헥산다이올, 카프릴릴메티콘, 펜틸렌글라이콜, 멕시칸치아씨추출물, 병풀추출물, 쇠비름추출물, 약모밀추출물, 울금뿌리추출물, 풍선덩굴꽃/잎/덩굴추출물, 흰서양송로추출물, 포도주추출물, 오렌지오일, 필리핀오렌지껍질오일, 에키움 플란타기네움씨오일, 리씨열매오일, 해바라기씨오일, 폴리메틸실세스퀴옥세인, 카프릴릭/카프릭/석시닉트라이글리세라이드, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 프로판다이올, 사카라이드하이드롤리세이트, 옥틸도데칸올, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 하이드록시프로필메틸셀룰로오스스테아록시에터, 에틸헥실글리세린, 아데노신, 해바라기씨오일불검화물, 자일리틸글루코사이드, 안하이드로자일리톨, 자일리톨, 토코페롤, 소듐피씨에이, 글루코오스, 리모넨, 시트랄",20대,"건성, 복합성",None,12,4933
식물나라 산소수가벼운수분선젤로션 SPF50+ PA++++ 더블 기획 (60ml+60ml),25800,"정제수, 프로판다이올, 사이클로펜타실록세인, 에칠헥실살리실레이트, 호모살레이트, 다이부틸아디페이트, 나이아신아마이드, 비스-에칠헥실옥시페놀메톡시페닐트리아진, 메칠렌비스-벤조트리아졸릴테트라메칠부틸페놀, 폴리메틸실세스퀴옥세인, 폴리실리콘-15, 디에칠아미노하이드록시벤조일헥실벤조에이트, 카프릴릴메티콘, 소듐하이알루로네이트, 1,2-헥산다이올, 펜틸렌글라이콜, 글리세린, 베헤닐알코올, 실리카, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 트로메타민, 데실글루코사이드, 카보머, 부틸렌글라이콜, 판테놀, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 소듐폴리아크릴레이트, 소듐스테아로일글루타메이트, 폴리아크릴레이트크로스폴리머-6, 에틸헥실글리세린, 아데노신, 폴리에터-1, 프로필렌글라이콜, 잔탄검, 산소(1ppm), 향료",20대,복합성,None,13,16626
[베스트민감피부] 닥터지 그린 마일드 업 선 플러스 40ml+40ml,37000,"정제수, 징크옥사이드, 프로판다이올, 부틸옥틸살리실레이트, 프로필헵틸카프릴레이트, 코코-카프릴레이트/카프레이트, 사이클로헥사실록세인, 카프릴릴메티콘, 아이소도데케인, 폴리글리세릴-3폴리다이메틸실록시에틸다이메티콘, 메틸트라이메티콘, 메틸메타크릴레이트크로스폴리머, 다이스테아다이모늄헥토라이트, 마그네슘설페이트, 트라이에톡시카프릴릴실레인, 1,2-헥산다이올, 폴리글리세릴-2다이폴리하이드록시스테아레이트, 라우릴폴리글리세릴-3폴리다이메틸실록시에틸다이메티콘, 폴리메틸실세스퀴옥세인, 글리세릴카프릴레이트, 카프릴릴글라이콜, 에틸헥실글리세린, 소듐하이알루로네이트, 부틸렌글라이콜, 토코페롤, 병풀추출물, 타라열매추출물, 프랑스해안송껍질추출물, 코토니추출물, 7-데하이드로콜레스테롤, 약모밀추출물, 엑토인, 밀몽화꽃추출물, 락토바실러스발효물, 하이드록시신나믹애씨드, 루틴",20대,복합성,None,14,20278
헤라 UV프로텍터 톤업 50ml (SPF50+PA4+),45000,"정제수, 에칠헥실메톡시신나메이트, 글리세린, 부틸렌글라이콜, 비스-에칠헥실옥시페놀메톡시페닐트리아진, 디에칠아미노하이드록시벤조일헥실벤조에이트, 다이부틸아디페이트, 티타늄디옥사이드, 메틸트라이메티콘, C12-15알킬벤조에이트, 다이메티콘, 실리카, 티타늄디옥사이드 (CI 77891), 나이아신아마이드, 트라이실록세인, 1,2-헥산다이올, 세테아릴알코올, 폴리C10-30알킬아크릴레이트, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 알루미늄스테아레이트, 알루미나, 스테아릭애씨드, 폴리하이드록시스테아릭애씨드, 폴리메틸메타크릴레이트, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 글리세릴스테아레이트, 향료, 하이드로제네이티드레시틴, 글리세릴카프릴레이트, 티몰트라이메톡시신나메이트, 트로메타민, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 팔미틱애씨드, 다이소듐이디티에이, 에틸헥실글리세린, 아데노신, 알루미늄하이드록사이드, 적색산화철, 솔비탄아이소스테아레이트, 트라이에톡시카프릴릴실레인, 황색산화철, 토코페릴아세테이트, 3-O-에틸아스코빅애씨드, 락토바실러스/부레옥잠발효물, 만니톨, 프로판다이올, 에틸헥실팔미테이트, 비에이치티, 리모넨, 리날룰, 펜틸렌글라이콜, 미리스틱애씨드, 페녹시에탄올, 라우릭애씨드, 소듐데하이드로아세테이트, 카보머, 소듐시트레이트, 포타슘솔베이트, 토코페롤, 메톡시피이지-114/폴리엡실론카프로락톤, 카프릴릴글라이콜, 복사나무잎추출물, 해바라기씨오일, 라이신, 알지닌, 히스티딘, 시트릭애씨드, 베타-카로틴, 글루코오스, 자일로오스, 디엔에이, 바이오틴, 만노오스, 소듐클로라이드, 레시틴, 하이드로제네이티드포스파티딜콜린, 카퍼트라이펩타이드-1, 소듐포스페이트, 덱스트린, 하이드롤라이즈드오크라추출물, 콜레스테롤, 푸코오스, 다이팔미토일하이드록시프롤린, 아크릴레이트/스테아릴메타크릴레이트코폴리머, 포타슘클로라이드, 포타슘포스페이트, 마그네슘클로라이드, 하이드롤라이즈드기장, 칼슘클로라이드","20대,30대","건성, 복합성",None,15,261
[베스트보송톤업] 닥터지 브라이트닝 업 선 플러스 기획(50ml+20ml),32000,"1. 닥터지 브라이트닝 업 선 플러스 50ml(본품+구성품)
정제수, 사이클로펜타실록세인, 에칠헥실메톡시신나메이트, 징크옥사이드 (CI 77947), 사이클로헥사실록세인, 에칠헥실살리실레이트, 부틸렌글라이콜, 메틸메타크릴레이트크로스폴리머, 폴리글리세릴-3폴리다이메틸실록시에틸다이메티콘, 티타늄디옥사이드 (CI 77891), 다이프로필렌글라이콜, 에틸헥실팔미테이트, 나이아신아마이드, 비닐다이메티콘/메티콘실세스퀴옥세인크로스폴리머, 솔비탄아이소스테아레이트, 다이메티콘/비닐다이메티콘크로스폴리머, 카프릴릴메티콘, 프랑스해안송껍질추출물, 타라열매추출물, 코토니추출물, 포도씨오일, 밀몽화꽃추출물, 감나무잎추출물, 녹차추출물, 다이메티콘, 다이스테아다이모늄헥토라이트, 폴리메틸실세스퀴옥세인, 마그네슘설페이트, C30-45알킬세테아릴다이메티콘크로스폴리머, 알루미늄하이드록사이드, 스테아릭애씨드, 카프릴릴글라이콜, 글리세릴카프릴레이트, 폴리메틸메타크릴레이트, 트라이에톡시카프릴릴실레인, 1,2-헥산다이올, 프로판다이올, 다이소듐이디티에이, 폴리비닐알코올, 황색산화철 (CI 77492), 적색산화철 (CI 77491)",20대,복합성,None,16,7881
넘버즈인 3번 도자기결 파데스킵 톤업베이지 50ml (SPF50+ PA++++),26000,"정제수, 징크옥사이드, 사이클로헥사실록세인, 프로판다이올, 프로필헵틸카프릴레이트, 카프릴릴메티콘, 트라이메틸실록시실리케이트, 폴리글리세릴-3폴리다이메틸실록시에틸다이메티콘, 티타늄디옥사이드, 나이아신아마이드, 다이실록세인, 부틸옥틸살리실레이트, 병풀추출물, 호장근뿌리추출물, 황금추출물, 녹차추출물, 로즈마리잎추출물, 마트리카리아꽃추출물, 사철쑥추출물, 스페인감초뿌리추출물, 약모밀추출물, 티트리추출물, 로즈마리잎오일, 다이스테아다이모늄헥토라이트, 마그네슘설페이트, 트라이에톡시카프릴릴실레인, 1,2-헥산다이올, 폴리글리세릴-2다이폴리하이드록시스테아레이트, 라우릴폴리글리세릴-3폴리다이메틸실록시에틸다이메티콘, 메틸메타크릴레이트크로스폴리머, 폴리메틸실세스퀴옥세인, 다이카프릴릴카보네이트, 글리세릴카프릴레이트, 카프릴릴글라이콜, 마이카, 알루미늄하이드록사이드, 에틸헥실글리세린, 퍼플루오로옥틸트라이에톡시실레인, 토코페롤, 부틸렌글라이콜, 펜틸렌글라이콜, 황색산화철, 적색산화철, 흑색산화철",20대,복합성,None,17,4844
조선미녀 맑은쌀선크림 50ml,18000,"정제수, 쌀추출물, 다이부틸아디페이트, 프로판다이올, 디에칠아미노하이드록시벤조일헥실벤조에이트, 폴리메틸실세스퀴옥세인, 에칠헥실트리아존, 나이아신아마이드, 메칠렌비스-벤조트리아졸릴테트라메칠부틸페놀, 코코-카프릴레이트/카프레이트, 카프릴릴메티콘, 디에칠헥실부타미도트리아존, 글리세린, 부틸렌글라이콜, 쌀배아추출물, 녹차추출물, 락토바실러스/호박발효추출물, 바실러스/소이빈발효추출물, 사탕수수추출물, 자이언트켈프추출물, 코코넛야자열매추출물, 홍삼추출물, 홍차추출물, 모나스커스/쌀발효물, 펜틸렌글라이콜, 베헤닐알코올, 폴리C10-30알킬아크릴레이트, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 데실글루코사이드, 트로메타민, 카보머, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 1,2-헥산다이올, 소듐스테아로일글루타메이트, 폴리아크릴레이트크로스폴리머-6, 에틸헥실글리세린, 아데노신, 잔탄검, 토코페롤, 락토바실러스/쌀발효물, 아스퍼질러스발효물, 효모/쌀발효여과액",30대,"건성, 복합성",None,18,302
에스트라 더마UV365 장벽수분 무기자차 선크림 40ml 1+1 기획,31000,"정제수, 징크옥사이드, 사이클로헥사실록세인, 프로판다이올, 부틸옥틸살리실레이트, 프로필헵틸카프릴레이트, 아이소도데케인, 폴리글리세릴-3폴리다이메틸실록시에틸다이메티콘, 카프릴릴메티콘, 다이실록세인, 다이스테아다이모늄헥토라이트, 마그네슘설페이트, 트라이에톡시카프릴릴실레인, 1,2-헥산다이올, 폴리메틸실세스퀴옥세인, 폴리글리세릴-2다이폴리하이드록시스테아레이트, 라우릴폴리글리세릴-3폴리다이메틸실록시에틸다이메티콘, 알란토인, 카프릴릴글라이콜, 글리세릴카프릴레이트, 에틸헥실글리세린, 소듐하이알루로네이트, 세라마이드엔피, 토코페롤, 소듐아세틸레이티드하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드",20대,복합성,None,19,1725
[베스트밀착차단] 셀퓨전씨 레이저 썬스크린 더블기획 (35ml+35ml),29400,"정제수, 사이클로펜타실록산, 에칠헥실메톡시신나메이트, 부틸렌글라이콜, 에칠헥실살리실레이트, 징크옥사이드, 디카프릴릴카보네이트, 디프로필렌글라이콜, 티타늄디옥사이드, 라우릴피이지-8디메치콘, 피이지-10디메치콘, 디메치콘, 디스테아디모늄헥토라이트, 토코페릴아세테이트, 마그네슘설페이트, 디메치콘/비닐디메치콘크로스폴리머, 메칠메타크릴레이트크로스폴리머,페닐트리메치콘, 알루미늄하이드록사이드, 알루미늄스테아레이트, 메치콘, 폴리글리세릴-6폴리리시놀리에이트, 글리세릴카프릴레이트, 카프릴릴글라이콜, 디소듐이디티에이, 유비퀴논, 하이드롤라이즈드콜라겐, 아세틸헥사펩타이드-8, 향료, 페녹시에탄올, 하이드록시시트로넬알, 부틸페닐메틸프로피오날, 리날룰, 시트로넬올, 헥실신나몰, 알파-아이소메틸아이오논",20대,복합성,None,20,8940
