상품명,가격,성분,나이,피부타입,피부고민,랭킹,리뷰수
에스트라 아토베리어365 로션 150ml 기획 (+하이드로에센스 25ml+무기자차선크림10ml 증정),31000,"정제수, 부틸렌글라이콜, 글리세린, 스쿠알란,펜타에리스리틸테트라이소스테아레이트, 사이클로펜타실록산, 폴리글리
세릴-3메칠글루코오스디스테아레이트, 부틸렌글라이콜 디카프릴레이트/디카프레이트, 카프릴릭/카프릭트리글리세라이드, 사이
클로헥사실록산, 스테아릭애씨드, 팔미틱애씨드, 글리세릴스테아레이트, 하이드록시에칠아크릴레이트/소듐아크릴로일디메칠타
우레이트코폴리머,하이드록시프로필비스팔미타 마이드엠이에이, 폴리글리세릴-10스테아레이트, 디메치콘올,콜레스테롤, 하이
드록시프로필비스라우라마이드엠이에이, 베헤닐알코 올, 피토스핑고신,글리세릴카프릴레이트, 카보머, 디소듐이디티에이, 에칠
헥실글리세린, 트로메타민, 소르비탄이소스테아레이트, 아라키딕애씨드, 미리스틱애씨드, 만니톨, 카나우바왁스추출물, 토코페롤,
아크릴레이트/암모늄메타크릴레이트코폴리머, 실리카,  소목줄기가루, 올레익애씨드",20대,"건성, 복합성",보습,11,9590
[한정기획] 구달 청귤 비타C 잡티케어 세럼 50ml+31ml 증정 기획,43000,"탄제린추출물(70%), 부틸렌글라이콜, 나이아신아마이드, 다이프로필렌글라이콜, 메틸글루세스-20, 정제수, 1,2-헥산다이올, 글리세레스-26, 알부틴, 아이리쉬모스추출물, 사탕수수추출 물, 하이드롤라이즈드호호바에스터, 소듐하이알루로네이트, 베르가모트오일, 인도멀구슬나무꽃추출물, 홀리바질잎추출물, 인도멀구 슬나무잎추출물, 울금뿌리추출물, 참산호말추출물, 라벤더오일, 레몬껍질오일, 일랑일랑꽃오일, 오렌지껍질오일, 유칼립투스잎추출 물, 감초뿌리추출물, 캐모마일꽃추출물, 녹차추출물, 병풀추출물, 로즈마리잎추출물, 호장근뿌리추출물, 병풀잎추출물, 암모늄아크 릴로일다이메틸타우레이트/브이피코폴리머, 판테놀, 콜레스-24, 트로메타민, 에틸헥실글리세린, 알란토인, 토코페릴아세테이트, 아 데노신, 소듐파이테이트, 아스코빌글루코사이드, 다이포타슘글리시리제이트, 글리세린, 마데카소사이드, 말토덱스트린, 사카라이드 하이드롤리세이트, 토코페롤, 아시아티코사이드, 카보머, 잔탄검, 리모넨, 리날룰",20대,복합성,주름/미백,12,6504
[단독기획] 토리든 다이브인 저분자 히알루론산 수딩크림 더블기획 (100ml+100ml),42000,"정제수, 부틸렌글라이콜, 글리세린, 1,2-헥산다이올, 하이드로제네이티드다이데센, 알란토인, 트레할로오스, 버지니아풍년화추출물, 판테놀, 하이드롤라이즈드하이알루 로닉애씨드, 소듐하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 소듐아세틸레이티드하이알루로네이트, 하이드롤라이즈드소 듐하이알루로네이트, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 피브이엠/엠에이코폴리머, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 2,3-부탄다이올, 세테아릴알코올, C14-22알코올, C12-20알킬글루코사이드, 펜틸렌글라이콜,  솔비탄아이소스테아레이트, 카프릴릭/카프릭트라이글리세라이드, 인도멀구슬나무잎추출물, 인도멀구슬나무꽃추출물, 아이비고드열매추출물, 가지열매추출물, 홀리바질잎추출물, 울금뿌리추출물, 참산호말추출물, 클레리추출물, 라벤더꽃추출물, 히아신스전초추출물, 마트리카리아꽃추출물, 수레국화꽃추출물, 보리지추출물, 다이소듐이디티에이, 카보머, 트로메타민, 잔탄검, 글루타티온, 말라카이트추출물, 에틸헥실글리세린",30대,복합성,보습,13,5637
[NEW]바이오힐보 프로바이오덤 리프팅 크림 50ml 1+1 기획(2310파워팩),39000,"정제수, 락토바실러스발효물, 다이프로필렌글라이콜, 글리세린, 카프릴릭/카프릭트라이글리세라이드, 하이드로제네이티드폴리(C6-14올레핀), 하이드로제네이티드폴리데센, 글리세 릴스테아레이트, 1,2-헥산다이올, 하이드로제네이티드식물성오일, 메도우폼씨오일, 나이아신아마이드, 폴리글리세릴-3메틸글루코오 스다이스테아레이트, 세테아릴알코올, 펜틸렌글라이콜, 호호바에스터, 수크로오스, 시어버터, 바실러스발효물, 한련초추출물, 인도 멀구슬나무꽃추출물, 인도멀구슬나무잎추출물, 카카오씨추출물, 울금뿌리추출물, 홀리바질잎추출물, 자일로오스, 참산호말추출물,  드럼스틱씨오일, 리마콩씨추출물, 칸디다봄비콜라/글루코오스/메틸레이프씨데이트발효물, 올리브오일, 다이펜타에리스리틸헥사하이 드록시스테아레이트/헥사스테아레이트/헥사로지네이트, 폴리메틸실세스퀴옥세인, 폴리솔베이트60, 세테아릴올리베이트, 피이지-100 스테아레이트, 솔비탄올리베이트, 다이메티콘, 카프릴릴글라이콜, 마이크로코쿠스용해물, 트로메타민, 토코페릴아세테이트, 에틸헥 실글리세린, 아데노신, 다이포타슘글리시리제이트, 부틸렌글라이콜, 프룩토오스, 덱스트린, 세라마이드엔피, 하이드로제네이티드레 시틴, 토코페롤, 다이펩타이드다이아미노부티로일벤질아마이드다이아세테이트, 팔미토일트라이펩타이드-5, 세틸하이드록시에틸셀룰 로오스, 루틴, 헥사펩타이드-2, 아세틸테트라펩타이드-5, 덱스트란, 트라이펩타이드-1, 팔미토일헥사펩타이드-12, 바이오틴, 아세틸헥사펩타이드-8, 팔미토일테트라펩타이드-7, 팔미토일트라이펩타이드-1, 팔미토일펜타펩타이드-4, 헥사펩타이드-9, 카퍼트라이펩타 이드-1, 세테아레스-20, 콜레스
테롤, 글라이코리피드, 레시틴, 올레익애씨드, 피이지-40하이드로제네이티드캐스터오일, 포타슘하 이드록사이드, 베헤닐알코올, 카보머, 잔탄
검, 다이소듐이디티에이, 향료",20대,"건성, 복합성",보습,14,8231
[피부결] 넘버즈인 3번 보들보들 결 세럼 50ml 기획 (+15ml 증정),30000,"비피다발효용해물(42%), 갈락토미세스발효여과물(21%), 부틸렌글라이콜, 메틸글루세스-20, 정제수, 나이아신아마이드, 피이지-90, 1, 2-헥산다이올, 글리세린, 스쿠알란, 알테로모나스 발효추출물, 실크추출물, 염소유추출물, 소듐하이알루로네이트, 판테놀, 아데노신, 글리세레스-26, 잔탄검, 폴리글리세릴-3다이스테아레이트, 글리세릴스테아레이트에스이, 글리세릴스테아레이트시트레이트, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 카보머, 트로메타민, 에틸헥실글리세린, 카프릴릴글라이콜, 트로폴론, 다이소듐이디티에이",30대,"건성, 복합성","보습, 진정",15,14324
[서강준 Pick] 성분에디터 머루포도 비타C 다크 스팟 앰플 30ml 더블 기획,25900,"포도수(821,000ppm), 프로판다이올, 1,2-헥산다이올, 포도추출물(30,000ppm), 나이아신아마이드, 카프릴릭/카프릭트라이글리세라이드, 트라넥사믹애씨드, 부틸렌글라이콜, 아 크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 인도멀구슬나무꽃추출물, 잔탄검, 아이비고드열매추출물, 정제수, 3-O-에틸아스코빅애씨드(500ppm), 하이드로제네이티드폴리(C6-20올레핀), 아데노신, 다이소듐이디티에이, 알란토인, 에이치디아이/트 라이메틸올헥실락톤크로스폴리머, 포도씨오일, 콜라겐, 류코노스톡/무발효여과물, 비치스트로베리추출물, 로우스위트블루베리추출물, 소듐하이알루로네이트, 베어베리잎추출물, 서양산딸기추출물, 시트릭애씨드, 라벤더꽃추출물, 레스베라트롤, 보리지추출물, 수레 국화꽃추출물, 클레리추출물, 히아신스전초추출물, 마트리카리아꽃추출물, 백미꽃추출물, 마데카소사이드, 아시아티코사이드, 에틸 헥실글리세린, 하이알루로닉애씨드, 하이드롤라이즈드하이알루로닉애씨드, 하이드록시프로필트라이모늄하이알루로네이트, 하이드롤 라이즈드소듐하이알루로네이트, 포타슘하이알루로네이트, 펜틸렌글라이콜, 마데카식애씨드, 소듐하이알루로네이트크로스폴리머, 아 시아틱애씨드, 소듐아세틸레이티드하이알루로네이트",20대,"건성, 복합성","보습, 주름/미백",16,547
[23관왕2900만병 누적판매] 달바 화이트 트러플 퍼스트 스프레이 세럼 100ml,29900,"정제수, 다이프로필렌글라이콜, 네오펜틸글라이콜다이헵타노에이트, 글리세레스-26, 1,2-헥산다이올, 나이아신아마이드, 솔비톨, 하이드록시에틸우레아, 아보카도오일, 멕시칸치아씨추출물, 바질꽃/잎/줄기추출물, 베타인, 귀리커넬추출물, 부틸렌글라이콜, 흰서양송로추출물(1,740ppm), 글리세린, 해바라 기씨오일, 토코페릴아세테이트, 다이소듐이디티에이, 다이포타슘글리시리제이트, 아데노신, 소듐팔미토일프롤린, 비피다발효용해물, 알바수련꽃추출물, 하이드롤라이즈드하이알루로닉애씨드, 돌콩오일, 스노우로투스추출물, 인삼추출물, 연꽃꽃추출물, 뽕나무껍질추출물, 마돈나백합꽃추출물, 에델바이스추출물, 약모밀추출물, 프리지어추출물, 카보머, 데이지꽃추출물, 알지닌, 포타슘솔베이트,  아나토씨오일, 토코페롤, 향료, 리날룰, 헥실신남알, 리모넨, 시트로넬올",20대,"건성, 복합성",보습,17,2620
[단독기획] 토리든 다이브인 저분자 히알루론산 세럼 50ml 리필기획(+리필팩 50ml),36000,"[다이브인 세럼]
정제수, 부틸렌글라이콜, 글리세린, 다이프로필렌글라이콜, 1,2-헥산다이올, 판테놀 , 소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드(500ppm), 소듐아세틸레이티드하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 하이드롤라이즈드소듐하이알루로네이트, 알란토 인, 트레할로스, 베타인, 프로판다이올, 쇠비름추출물, 버지니아풍년화추출물, 마데카소사이드, 마데카식애씨드, 세라마이드엔피,  베타-글루칸, 말라카이트추출물, 콜레스테롤, 펜틸렌글라이콜, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 피브이엠/엠에이코폴리머, 폴리글리세릴-10라우레이트, 잔탄검, 트로메타민, 카보머, 에틸헥실글리세린,황금추출물,모란뿌리추출물",20대,"건성, 복합성",보습,18,12049
[3천만국민크림탄력리프팅] 닥터지 블랙스네일 크림 50ml+50ml+15ml 기획,33000,"정제수, 달팽이점액여과물, 다이프로필렌글라이콜, 글리세린, 세테아릴알코올, 사이클로펜타실록세인, 카프릴릭/카프릭트라이글리세라이드, 트라이에틸헥사노인, 하이드로제네이티드폴리데센, 나이아신아마이드, 하이드로제네이티드폴리(C6-14올레핀), 1,2-헥산다이올, 사이클로헥사실록세인, 글리세릴스테아레이트에스이, 카바카바잎/뿌리/줄기추출물, 참마뿌리추출물, 우엉뿌리추출물, 진흙버섯추출물, 쇠비름추출물, 프로폴리스추출물,  병풀추출물, 하이드로제네이티드레시틴, 아르간커넬오일, 소듐하이알루로네이트, 다이메티콘, C12-16알코올, 글리세릴스테아레이트, 세테아릴올리베이트, 솔비탄올리베이트, 마이크로크리스탈린셀룰로오스, 스쿠알란, 세테아릴글루코사이드, 메틸프로판다이올, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 부틸렌글라이콜, 팔미틱애씨드, 하이드로제네이티드폴리아이소부텐, 베타인, 에탄올, 글라이코실트레할로오스, 셀룰로오스검, 아이소노닐아이소노나노에이트, 폴리글리세릴-10스테아레이트, 하이드롤라이즈드옥수수전분, 하이드로제네이티드스타치하이드롤리세이트, 라피노오스, 스테아릭애씨드, 시어버터, 아데노신, 폴리글리 세릴-2다이폴리하이드록시스테아레이트, 베타-글루칸, 다이소듐이디티에이, 레시틴, 솔비탄아이소스테아레이트, 수크로오스, 카라멜, 글루코오스, 이눌린라우릴카바메이트, 폴리쿼터늄-51, 프로필렌글라이콜, 다이소듐스테아로일글루타메이트, 바이오사카라이드검-1, 진주가루, 피이지-100스테아레이트, 폴리솔베이트60, 향료, 에틸헥실글리세린, 펜틸렌글라이콜, 카프릴릴글라이콜, 리날룰, 벤질 살리실레이트, 리모넨, 하이드록시시트로넬알, 제라니올",40대 이상,"건성, 복합성",보습,19,603
[곰민영 PICK디퓨저 선착순 증정] 한율 어린쑥 수분진정크림 55ml+25ml+마스크팩 기획,38000,"정제수, 글리세린, 부틸렌글라이콜, 다이카프릴릴에터, 황해쑥잎수(35,724ppm),
메틸트라이메티콘, 나이아신아마이드, 비스-하이드록시에톡시프로필다이
메티콘, 1,2-헥산다이올, C14-22알코올, 세틸에틸헥사노에이트, 판테놀(5,000
ppm), 글리세릴스테아레이트시트레이트, 하이드로제네이티 드폴리(C6-14
올레핀), 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코
폴리머, 스테아릭애씨드, 암모늄아크릴 로일다이메틸타우레이트/브이피코폴리머,
글리세릴폴리메타크릴레이트, 글리세릴스테아레이트, 폴리메틸실세스퀴옥세인,
팔미틱애씨드, 아라키딜알코올, C12-20알킬글루코사이드, 향료, 글리세릴카프
릴레이트, 베헤닐알코올, 2,3-부탄다이올, 아라키딜글루코사 이드, 에틸헥실글리
세린, 다이소듐이디티에이, 솔비탄아이소스테아레이트, 프로판다이올, 레시틴,
락토바실러스발효물, 글루코오스, 토코페롤, 이눌린라우릴카바메이트, 황해쑥
잎추출물(10 ppm), 병풀꽃/잎/줄기추출물",20대,복합성,진정,20,2169
