상품명,가격,성분,나이,피부타입,피부고민,랭킹,리뷰수
이퀄베리 사우나 광 클렌저 200ml,20000,"정제수,글리세린,코코-베타인,라우릴글루코사이드,폴리글리세릴-4카프레이트,1,2-헥산다이올,소듐코코일이세티오네이트,소듐클로라이드,글라이코실트레할로오스,하이드로제네이티드스타치하이드롤리세이트,녹차추출물,크랜베리추출물,엘더열매추출물,서양산딸기추출물,로우스위트블루베리추출물,라즈베리추출물,마카다미아씨오일,프룩탄,부틸렌글라이콜,프로판다이올,알지닌,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,잔탄검,유향나무오일,녹차가루",30대,건성,None,31,53
아벤느 클리낭스 클렌징 젤 400ml 피지잡는 약산성클렌저,30000,"아벤느 온천수(아쿠아),정제수,징크코세스설페이트,라우릴베타인,데실글루코사이드,세테아레스-60미리스틸글라이콜,피이지-7글리세릴코코에이트,폴리솔베이트 20,시트릭애씨드,조합향료,녹색201호,아이소프로필알코올,피이지-40하이드로제네이티드캐스터오일,피이지-6,피피지-26-부테스-26,흰무늬엉겅퀴열매추출물,소듐벤조에이트,소듐클로라이드,소듐하이드록사이드,트라이소듐에틸렌다이아민다이석시네이트,황색 4호,징크글루코네이트",20대,복합성,None,32,6192
[심톨 PICK] 메디필 엑스트라 슈퍼9 플러스 2.0 기획 (피지연화제),24900,"정제수, 트로메타민, 에탄올, 글리세린, 폴리글리세릴-10미리스테이트, 부틸렌글라이콜, 하이드록시아세토페논, 다이프로필렌글라이콜, 카프릴릴글라이콜, 향료, 베타인, 다이소듐이디티에이, 1,2-헥산다이올, 소듐하이알루로네이트, 파파야열매추출물, 카카두플럼추출물, 마트리카리아꽃추출물, 쇠비름추출물, 호장근뿌리추출물, 치자추출물, 아사이팜열매추출물, 까무까무열매추출물, 가자열매추출물, 부틸아보카데이트, 에틸헥실글리세린, 병풀추출물, 살리실릭애씨드, 글루코노락톤, 목련나무껍질추출물, 아세틸헥사펩타이드-8, 카퍼트라이펩타이드-1, 팔미토일펜타펩타이드-4, 트라이펩타이드-1, 팔미토일트라이펩타이드-1, 헥사펩타이드-9, 토코페롤, 노나펩타이드-1, 락틱애씨드, 시트릭애씨드",30대,"지성, 복합성",None,33,7471
[단독기획] 아리얼 더 퍼펙트 클렌징 티슈 플러스 더블기획 (100매x2개입),19800,"정제수, 올리브오일피이지-8에스터, 부틸렌글라이콜, 다이프로필렌글라이콜, 피이지-7글리세릴코코에이트, 해바라기씨오일, 율무씨추출물, 얼룩파인애플추출물, 매실추출물, 브로멜라인, 락토바실러스/호박발효추출물, 까무까무열매추출물, 마트리카리아꽃추출물, 미네랄워터, 파파인, 피이지-60하이드로제네이티드캐스터오일, 세틸피리디늄클로라이드 , 카프릴릴글라이콜, 코카미도프로필피지-다이모늄클로라이드포스페이트, 시트릭애씨드, 소듐시트레이트, 다이소듐이디티에이, 유칼립투스잎오일, 라임전초오일, 구주소나무잎오일, 오렌지껍질오일, 베르가모트오일, 레몬껍질오일, 시트랄, 리모넨, 리날룰",30대,복합성,None,34,2118
[로즈픽스 PICK정품증정]바이오더마 센시비오 미셀라 클렌징 오일 150ml 더블기획,64000,"에틸헥실팔미테이트, 유채씨오일, 폴리글리세릴-4올리에이트, 정제수, 소듐피씨에이, 프로판다이올, 카프릴릭/카프릭트라이글리세라이드, 벤조트라이아졸릴도데실p-크레솔, 토코페롤, 해바라기씨오일, 라미나리아 오크롤레우카추출물, 스테아릴글리시레티네이트",20대,"건성, 복합성",None,35,789
[더블기획] 브링그린 티트리시카트러블클렌징폼 200mL더블기획_NEW,19000,"정제수, 미리스틱애씨드, 글리세린, 메틸프로판다이올, 포타슘하이드록사이드, 코코-글루코사이드, 라우릭애씨드, 팔미틱애씨드, 스테아릭애씨드, 티트리추출물(36,773ppm)*, 살리실릭애씨드, 글리세릴스테아레이트, 티트리잎추출물(5,511ppm)*, 티트리꽃/잎/줄기추출물(1,252ppm)*, 티트리잎수(5,511ppm)*, 티트리잎오일(3,050ppm)*, 병풀추출물(1,000ppm), 솔비탄올리베이트, 판테놀, 베타-글루칸, 소듐파이테이트, 1,2-헥산다이올",20대,"지성, 복합성",None,36,1889
마녀공장 퓨어 엔자임 클렌징 워터 1+1 기획 (400ml+400ml),22000,"정제수, 다이프로필렌글라이콜, 피이지-6카프릴릭/카프릭글리세라이즈, 피이지-7글리세릴코코에이트, 부틸렌글라이콜, 글리세린, 포트마리골드꽃추출물, 소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트, 하이드록시프로필트라이모늄하이알루로네이트, 하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 포타슘하이알루로네이트, 1,2-헥산다이올, 파파야열매추출물, 락토바실러스/콩발효추출물, 효모/띠뿌리발효추출물, 효모/겨우살이발효추출물, 파파인, 하이드록시아세토페논, 자일리톨, 안하이드로자일리톨, 자일리틸글루코사이드, 글루코오스, 말토덱스트린, 다이소듐이디티에이",30대,복합성,None,37,2556
식물나라 제주 탄산수 모공 딥 클렌징폼150mLX2,12800,"정제수, 미리스틱애씨드, 글리세린, 메틸프로판다이올, 포타슘하이드록사이드, 코코-글루코사이드, 라우릭애씨드, 팔미틱애씨드, 스테아릭애씨드, 글리세릴스테아레이트, 탄산수(10,000ppm), 병풀추출물, 무화과추출물, 당느릅나무뿌리추출물, 줄맨드라미씨추출물, 하이드로제네이티드레시틴, 페퍼민트오일, 솔비탄올리베이트, 폴리글리세릴-10라우레이트, 만니톨, 부틸렌글라이콜, 다이소듐이디티에이, 마이크로크리스탈린셀룰로오스, 수크로오스, 멘톨, 에틸멘탄카복사마이드, 옥수수전분, 하이드록시프로필메틸셀룰로오스, 세라마이드엔피, 폴리퀴터늄-67, 소듐아세테이트, 소듐클로라이드, 1,2-헥산다이올, 향료, 에틸헥실글리세린, 울트라마린",20대,복합성,None,38,7509
한율 어린쑥 진정 맑은 클렌징폼 기획세트 (폼120g + 수분진정크림15g),16000,"정제수, 글리세린, 미리스틱애씨드, 라우릭애씨드, 포타슘하이드 록사이드, 스테아릭애씨드, 라우릴하이드록시설테인, 글리세릴스 테아레이트, 글라이콜다이스테아레이트, 팔미틱애씨드, 씨실트, 폴리쿼터늄-22, 황해쑥잎수 (10,000 ppm), 향료, 부틸렌글라이콜, 구아하이드록시프로필트라이모늄클로라이드, 하이드록시프로필 구아하이드록시프로필트라이모늄클로라이드, 다이소듐이디티 에이, 1,2-헥산다이올, 황해쑥잎오일 (40 ppm), 포타슘코코일글리 시네이트, 에틸헥실글리세린, 테트라소듐이디티에이",30대,복합성,None,39,1399
메디필 레드 락토 콜라겐 클리어 2.0,24000,"정제수, 미리스틱애씨드, 글리세린, 스테아릭애씨드, 포타슘하이드록사이드, 글리세릴스테아레이트에스이, 팔미틱애씨드, 부틸렌글라이콜, 글라이콜다이스테아레이트, 소듐벤조에이트, 코카미도프로필베타인, 락토바실러스발효물(2,100ppm), 서양배추출물, 서양송악잎/줄기추출물, 에틸헥실글리세린, 감나무잎추출물, 포도추출물, 사과추출물, 비치스트로베리추출물, 커피콩추출물, 잇꽃꽃추출물, 호장근뿌리추출물, 녹차추출물, 밤껍질추출물, 다이소듐이디티에이, 소듐클로라이드, 1,2-헥산다이올, 락토코쿠스발효물(200 ppm), 살리실릭애씨드, 글루코노락톤, 카프릴로일살리실릭애씨드, 자일리틸글루코사이드, 안하이드로자일리톨, 자일리톨, 콜라겐(7,920 ppb), 기장추출물, 히비스커스꽃추출물, 하이드롤라이즈드콜라겐(2,500 ppb), 글라이신, 프로폴리스추출물, 세린, 글루타믹애씨드, 바이오사카라이드검-4, 흰버드나무껍질추출물, 오레가노잎추출물, 편백잎추출물, 아스파틱애씨드, 류신, 시트릭애씨드, 탄닉애씨드, 락토바실러스/콩발효추출물(500 ppb), 육계나무껍질추출물, 황금추출물, 쇠비름추출물, 알라닌, 라이신, 알지닌, 타이로신, 페닐알라닌, 트레오닌, 프롤린, 발린, 포타슘솔베이트, 아이소류신, 히스티딘, 메티오닌, 시스테인, 콜라겐추출물(100 ppb)",30대,"건성, 복합성",None,40,665
닥터지 약산성 레드 블레미쉬 클리어 수딩 폼 기획 (150ml+75ml),20000,"정제수, 소듐코코일이세티오네이트, 글리세린, 코코-베타인, 글리세릴스테아레이트, 스테아릴알코올, 소듐메틸코코일타우레이트, 소듐클로라이드, 부틸렌글라이콜, 퀼라자껍질추출물, 파스향나무잎추출물, 병풀추출물, 비피다발효용해물, 류코노스톡/무발효여과물, 소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 하이알루로닉애씨드, 산소, 포타슘코코일글리시네이트, 코코-글루코사이드, 살리실릭애씨드, 카프릴릴글라이콜, 1,2-헥산다이올, 부틸아보카데이트, 락토바실러스, 마데카소사이드, 글라이신, 세린, 글루타믹애씨드, 아스파틱애씨드, 류신, 알라닌, 라이신, 알지닌, 타이로신, 페닐알라닌, 프롤린, 트레오닌, 발린, 아이소류신, 히스티딘, 시스테인, 메티오닌, 하이드록시프로필트라이모늄하이알루로네이트, 에틸헥실글리세린, 아시아티코사이드, 아시아틱애씨드, 마데카식애씨드, 프로필갈레이트, 소듐아세틸레이티드하이알루로네이트, 하이드롤라이즈드소듐하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 포타슘하이알루로네이트, 다이소듐이디티에이",20대,복합성,None,41,8042
[대용량] 식물나라 제주탄산수 퀵 립앤아이리무버 300ml,16000,"■ 정제수, 사이클로펜타실록세인, 아이소헥사데칸, 다이프로필렌글라이콜, 아이소도데케인, 아이소프로필미리스테이트, 탄산수, 레몬추출물, 동백나무꽃추출물, 코치닐선인장열매추출물, 꿀추출물, 카프릴릭/카프릭트라이글리세라이드, 소듐클로라이드, 글리세린, 카프릴릴/카프릴글루코사이드, 벤조트라이아졸릴도데실p-크레솔, 소듐시트레이트, 펜타에리스리틸테트라-다이-t-부틸하이드록시하이드로신나메이트, 다이소듐이디티에이, 시트릭애씨드, 페녹시에탄올, 녹색202호",30대,복합성,None,42,11753
[대용량] 라운드랩 1025 독도 클렌저 200ml 더블기획,28000,"정제수, 소듐코코일이세티오네이트, 글리세린, 소듐메틸코코일타우레이트, 코코-베타인, 포타슘코코일글리시네이트, 포타슘벤조에이트, 소듐클로라이드, 폴리쿼터늄-67, 포타슘코코에이트, 시트릭애씨드, 프룩토올리고사카라이드, 사카라이드하이드롤리세이트, 다이소듐이디티에이, 풀루란, 1,2-헥산다이올, 알란토인, 판테놀, 해수, 소듐아세테이트, 부틸렌글라이콜, 마트리카리아꽃오일, 카프릴릭/카프릭트라이글리세라이드, 베타-글루칸, 포스파티딜콜린, 하이알루로닉애씨드, 에틸헥실글리세린, 세라마이드엔피, 글라이신, 하이드롤라이즈드하이알루로닉애씨드, 글루타믹애씨드, 세린, 소듐하이알루로네이트, 라이신, 알라닌, 알지닌, 트레오닌, 프롤린",20대,복합성,None,43,639
[올영단독]뉴트로지나 딥클린 아크네 포밍 클렌저 220g 2입 (양파쿵야 파우치 기획),20000,"정제수, 글리세린, 소듐코코일글라이시네이트, 소듐코코일이세티오네이트, 코카미도프로필베타인, 미리스틱애씨드, 글라이콜다이스테아레이트, 아크릴레이트코폴리머, 라우릭애씨드, 피이지-120메틸글루코스디올리에이트, 페녹시에탄올, 살리실릭애씨드, 카프릴릴글라이콜, 클로페네신, 소듐하이드록사이드, 향료, 하이드록시에틸셀룰로오스, o-사이멘-7-올, 다이소듐이디티에이",20대,복합성,None,44,1000
[츄PICK]센카 퍼펙트 휩 스피디 150mL 2입 세트(150ml+150ml),21900,"정제수, 솔비톨, 글리세린, 부틸렌글라이콜, 다이프로필렌글라이콜, 소듐메틸타우레이트, 라우릴베타인, 라우릭애씨드, 알지닌코코에이트, 미리스틱애씨드, 향료, 펜타소듐펜테테이트, 폴리쿼터늄-7, 소듐벤조에이트, 소듐메타바이설파이트, 포타슘하이드록사이드, 비스-에톡시다이글라이콜사이클로헥산1,4-다이카복실레이트, 시트릭애씨드, 소듐아세틸레이티드하이알루로네이트, 소듐하이알루로네이트, 세리신, 포타슘솔베이트, 토코페롤, 리모넨",30대,복합성,None,45,1848
비플레인 녹두 클렌징 오일 200ml,24000,"에틸헥실팔미테이트, 세틸에틸헥사노에이트, 솔베스-30테트라올리에이트, 솔비탄세스퀴올리에이트, 녹차씨오일, 녹두싹추출물 (252.2ppm), 녹두전초 추출물 (252.2ppm), 녹두씨추출물 (252.2ppm), 녹두추출물 (252.2ppm), 치자추출물, 폴리글리세릴-3폴리리시놀리에이트, 잇꽃꽃추출물, 정제수, 1,2-헥산다이올, 알란토인, 판테놀",20대,복합성,None,46,1144
[고우림 PICK] 스트라이덱스 약알칼리성 바하 폼클렌저 더블기획(150ml+150ml),17000,"정제수, 스테아릭애씨드, 글리세린, 미리스틱애씨드, 라우릭애씨드, 포타슘하이드록사이드, 피이지-8, 피이지-60글리세릴아이소스테아레이트, 포타슘코코일글리시네이트, 코카미도프로필베타인, 글리세릴스테아레이트, 피이지-100스테아레이트, 폴리솔베이트20, 솔비탄올리베이트, 폴리쿼터늄-7, 프로판다이올, 향료, 소듐클로라이드, 소듐메틸코코일타우레이트, 클로페네신, 살리실릭애씨드, 메틸다이아이소프로필프로피온아마이드, 카프릴릴글라이콜, 다이소듐이디티에이, 토코페릴아세테이트, 소듐하이알루로네이트, 병풀추출물, 무화과추출물, 올레라케아아크멜라추출물, 줄맨드라미씨추출물, 당느릅나무뿌리추출물, 미역추출물, 멘틸락테이트, 부틸렌글라이콜, 에틸멘탄카복사마이드, 에틸헥실글리세린, 1, 2-헥산다이올, 알로에베라잎추출물, 리모넨, 리날룰",20대,"지성, 복합성",None,47,6286
랑벨 내츄럴 딥클렌징 스페셜 기획 (클렌징오일200ml+클렌저30ml),19900,"[랑벨 내츄럴 딥 클렌징 오일 200ml]
포도씨오일, 마카다미아씨오일, 솔베스-30테트라올리에이트, 카프릴릭/카프릭트라이글리세라이드, 토코페롤, 레몬껍질오일, 라벤더오일, 솔비탄세스퀴올리에이트
[랑벨 내츄럴 딥 포어 클렌저 30ml]
정제수, 다이소듐코코암포다이아세테이트, 포타슘코코일글리시네이트, 소듐코코일이세티오네이트,
베륵모트오일, 소듐하이알루로네이트, 라우릴글루코사이드, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 알지닌, 폴리쿼타늄-10, 트레할로오스, 판테놀, 베타-글루칸, 병풀추출물, 버지니아풍년화추출물, 티트리잎수, 1,2-헥산다이올, 부틸렌글라이콜, 카프릴릴글라이콜, 스아니스추출물, 다이소듐이디티에이, 리모넨, 리날룰",30대,"건성, 복합성",None,48,3051
비페스타 클렌징오일 브라이트닝 230ml (각질&블랙헤드 제거),16000,"미네랄오일,에틸헥실팔미테이트,해바라기씨오일,피이지-20글리세릴트라이아이소스테아레이트,피이지-8글리세릴아이소스테아레이트,폴리글리세릴-10다이올리에이트,옥틸도데칸올,쌀배아오일,정제수,트라이에틸시트레이트,판테놀,토코페릴아세테이트,부틸렌글라이콜,라벤더오일,로즈마리잎오일,연필향나무오일,센티드제라늄오일,만다린껍질추출물,통카콩열매추출물,튜베로즈추출물",20대,복합성,None,49,2676
[백현클렌징폼]브링그린 뱀부 차콜 모공정화 클렌징폼 더블기획 (200ml+200ml),19000,"정제수, 미리스틱애씨드, 글리세린, 메틸프로판다이올, 포타슘하이드록사이드, 라우릭애씨드, 팔미틱애씨드, 스테아릭애씨드, 밤부사 불가리스수, 밤부사 불가리스싹추출물, 밤부사 불가리스잎/줄기추출물, 글리세릴스테아레이트, 참마뿌리추출물, 당느릅나무뿌리추출물, 줄맨드라미씨추출물, 로즈마리잎오일, 아크릴레이트코폴리머, 포타슘코코에이트, 포타슘코코일글리시네이트, 벤토나이트, 솔비탄올리베이트, 라우릴베타인, 에틸헥실글리세린, 폴리글리세릴-10라우레이트, 만니톨, 숯가루, 폴리쿼터늄-7, 소듐클로라이드, 부틸렌글라이콜, 마이크로크리스탈린셀룰로오스, 수크로오스, 옥수수전분, 1,2-헥산다이올, 글라이코실트레할로오스, 소듐벤조에이트, 하이드록시프로필메틸셀룰로오스, 하이드로제네이티드스타치하이드롤리세이트, 라피노오스, 레시틴, 폴리쿼터늄-51, 바이오사카라이드검-1, 마그네슘알루미늄실리케이트, 셀룰로오스검, 잔탄검, 흑색산화철",20대,"지성, 복합성",None,50,3608
믹순 병풀 클렌징 폼 150ml,18000,"정제수,소듐코코일이세티오네이트,글리세린,하이드록시프로필스타치포스페이트,소듐메틸코코일타우레이트,프로판다이올,포타슘코코일글리시네이트,아크릴레이트코폴리머,세테아릴알코올,포타슘코코에이트,솔비탄올리베이트,살리실릭애씨드,글라이콜다이스테아레이트,글리세릴스테아레이트,시트릭애씨드,카프릴릴글라이콜,부틸렌글라이콜,1,2-헥산다이올,글리세릴카프릴레이트,병풀추출물(500ppm),다이소듐이디티에이",20대,"건성, 복합성",None,51,30
[단독기획]런드리유 클린 페이스 가글 스트롱 젤 투 폼 클렌저 기획세트,22000,"오레가노잎추출물, 정제수, 소듐C14-16올레핀설포네이트, 소듐코코일알라니네이트, 다이소듐코코암포다이아세테이트, 라우릴글루코사이드, 글리세린, 글루코노락톤, 소듐클로라이드, 멘톨, 폴리글리세린-3, 메틸글루세스-20, 메틸글루세스-10, 글리세레스-26, 시트릭애씨드, 포타슘벤조에이트, 캠퍼, 인도멀구슬나무잎추출물, 인도멀구슬나무꽃추출물, 아이비고드열매추출물, 엑토인, 편백잎추출물, 해수, 가지열매추출물, 알로에베라꽃추출물, 다이프로필렌글라이콜, 홀리바질잎추출물, 울금뿌리추출물, 참산호말추출물, 1,2-헥산다이올, 부틸렌글라이콜, 락토바실러스발효용해물, 서양민들레잎추출물, 락토코쿠스발효용해물, 비피다발효용해물, 에틸헥실글리세린, 다이소듐코코일글루타메이트",20대,"지성, 복합성",None,52,655
[대용량] 라운드랩 1025 독도 클렌징워터 1+1 기획 (400ml+ 400ml),18000,"정제수, 다이프로필렌글라이콜, 글리세린, 폴리글리세릴-4카프레이트, 1,2-헥산다이올, 해수, 하이알루로닉애씨드, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트, 판테놀, 알란토인, 세라마이드엔피, 펜틸렌글라이콜, C12-14파레스-12, 카프릴릴글라이콜, 에틸헥실글리세린, 부틸렌글라이콜, 토코페롤, 다이소듐이디티에이",20대,복합성,None,53,4192
폰즈 클리어 스파 립앤아이 리무버 300ml,24500,"정제수, 사이클로펜타실록세인, 아이소헥사데칸, 아이소도데케인, 헥실렌글라이콜, 소듐클로라이드, 다이소듐이디티에이, 폴록사머184, 페녹시에탄올, 소듐시트레이트, 벤질알코올, 벤잘코늄클로라이드, 시트릭애씨드, 구주소나무잎추출물, 다이포타슘글리시리제이트, 효모/아연발효물, 효모/마그네슘발효물, 포도씨추출물, 녹차추출물, 녹색202호",30대,복합성,None,54,60702
라운드어라운드 그린티 트러블 버블 폼 200ml 리필 기획세트,28800,"정제수, 글리세린, 에탄올, 녹차수(7%), 다이소듐라우레스설포석시네이트, 부틸렌글라이콜, 코코-베타인, 포타슘코코일글루타메이트, 라우릴하이드록시설테인, 다이소듐코코암포다이아세테이트, 소듐클로라이드, 펜틸렌글라이콜, 티트리추출물, 유향나무오일, 센티드제라늄꽃오일, 퀼라자껍질추출물, 베티버뿌리오일, 발삼아미리스껍질오일, 오렌지껍질오일, 티트리잎오일, 당근씨오일, 병풀추출물, 약모밀추출물, 장미꽃오일, 소듐코코일글루타메이트, 코코-글루코사이드, 메틸프로판다이올, 살리실릭애씨드, 카프릴릴글라이콜, 글리세릴카프릴레이트, 폴리글리세릴-10라우레이트, 소듐코코일이세티오네이트, 1,2-헥산다이올, 소듐설파이트, 옥탄다이올, 헥실렌글라이콜, 에틸헥실글리세린, 시트릭애씨드, 소듐시트레이트, 다이소듐이디티에이, 리모넨",30대,복합성,None,55,5903
마녀공장 허브 그린 클렌징 오일 200ml+ 약산성 소다폼 (20ml+20ml),19900,"돌콩오일, 솔베스-30테트라올리에이트, 아이소아밀라우레이트, 카프릴릭/카프릭트라이글리세라이드, 녹차오일, 올리브오일, 포도씨오일, 불가리스쑥오일, 살비아오일, 호호바씨오일, 글리세릴카프릴레이트, 스위트아몬드오일, 드럼스틱씨오일, 티트리잎오일, 유칼립투스잎오일, 로즈마리잎오일, 라벤더오일, 토코페롤, 녹차추출물, 녹차수, 불가리스쑥추출물, 파파야열매추출물, 광곽향오일, 유향",20대,복합성,None,56,8815
[한정기획] 라로슈포제 에빠끌라 딥클렌징포밍크림 125ml 기획 (+에빠폼 15ml),28000,"본품
정제수 글리세린 미리스틱애씨드 포타슘하이드록사이드 글리세릴스테아레이트에스이 스테아릭애씨드 라우릭애씨드 팔미틱애씨드 코코-글루코사이드 향료 살리실릭애씨드 테트라소듐이디티에이

증정-에빠끌라 폼 15ml
정제수 글리세린 미리스틱애씨드 포타슘하이드록사이드 글리세릴스테아레이트에스이 스테아릭애씨드 라우릭애씨드 팔미틱애씨드 코코-글루코사이드 향료 살리실릭애씨드 테트라소듐이디티에이",20대,"지성, 복합성",None,57,4042
[디렉터파이 PICK단독기획] 토리든 다이브인 저분자 히알루론산 클렌징 폼 150ml 기획(+30ml 추가 증정),15000,"정제수, 글리세린, 소듐코코일글라이시네이트, 소듐라우로일글루타메이트, 소듐하이알루로네이트, 하이알루로닉애씨드, 하이드롤라이즈드하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트, 하이드록시프로필트라이모늄하이알루로네이트, 하이드롤라이즈드소듐하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 포타슘하이알루로네이트, 판테놀, 알란토인, 트레할로오스, 토코페롤, 버지니아풍년화추출물, 녹차추출물, 마트리카리아추출물, 부틸렌글라이콜, 다이프로필렌글라이콜, 하이드록시프로필스타치포스페이트, 글리세릴스테아레이트에스이, 포타슘벤조에이트, 소듐클로라이드, 폴리쿼터늄-67, 소듐아세테이트, 1,2-헥산다이올, 시트릭애씨드, 에틸헥실글리세린, 다이소듐이디티에이, 말라카이트추출물",30대,"건성, 복합성",None,58,1005
[디렉터파이추천] 이즈앤트리 어니언 뉴페어 클렌징폼 150ml,18000,"정제수, 글리세린, 포타슘미리스테이트, 양파추출물, 스테아릭애씨드, 포타슘 스테아레이트, 미리스틱애씨드, 글리세릴스테아레이트, 팔미틱애씨드, 코코- 베타인, 포타슘코코일글리시네이트, 하이드록시프로필스타치포스페이트, 소듐 C14-16올레핀설포네이트, 솔비톨, 포타슘벤조에이트, 부틸렌글라이콜, 소듐 클로라이드, 세테아릴알코올, 아이비고드열매추출물, 1,2-헥산다이올, 한련초 추출물, 인도멀구슬나무잎추출물, 인도멀구슬나무꽃추출물, 하이드로제네이 티드폴리데센, 아라키딕애씨드, 소듐시트레이트, 트라이소듐에틸렌다이아민 다이석시네이트, 올레익애씨드, 가지열매추출물, 라우릭애씨드, 홀리바질잎 추출물, 시트릭애씨드, 울금뿌리추출물, 참산호말추출물, 소듐아스코빌포스페 이트, 트라넥사믹애씨드, 다이소듐이디티에이, 알란토인, 약모밀추출물, 판테놀 소듐헤파린",20대,"지성, 복합성",None,59,1320
[당김없이개운클렌징]일리윤 세라마이드 더마6.0 클렌징워터 폼,21000,"정제수, 글리세린, 소듐코코일알라니네이트, 라우릴하이드록시설테인, 카프릴릴/카프릴글루코사이드, 아크릴레이트/베헤네스-25메타크릴레이트코폴리머, 소듐클로라이드, 폴리글리세릴-6카프릴레이트, 폴리글리세릴-4카프레이트, 시트릭애씨드, 1,2-헥산다이올, 소듐메타포스페이트, 에틸헥실글리세린, 센티드제라늄꽃오일, 부틸렌글라이콜, 인삼수, 프로판다이올, 검정콩오일, 시호뿌리추출물, 왜당귀뿌리추출물, 소엽맥문동뿌리추출물, 세라마이드엔피, 병풀꽃/잎/줄기추출물, 피토스핑고신, 하이드로제네이티드레시틴, 토코페롤, 다이소듐이디티에이, 카놀라오일, 로즈마리잎추출물",30대,복합성,None,60,787
아누아 어성초 포어 컨트롤 클렌징오일 200ml,20000,"에틸헥실팔미테이트, 솔베스-30테트라올리에이트, 솔비탄세스퀴올리에이트, 카프릴릭/카프릭트라이글리세라이드, 부틸아보카데이트, 향료, 해바라기씨오일, 마카다미아씨오일, 올리브오일, 호호바씨오일, 포도씨오일, 카프릴릴글라이콜, 에틸헥실글리세린, 울금뿌리추출물, 인도멀구슬나무꽃추출물, 토코페롤, 인도멀구슬나무잎추출물, 약모밀추출물, 참산호말추출물, 인도멀구슬나무껍질추출물, 드럼스틱씨오일, 홀리바질잎추출물",30대,복합성,None,61,1539
아리얼 스트레스 릴리빙 립앤아이 리무버 패드 30매,3900,"정제수, 세틸에틸헥사노에이트, 사이클로펜타실록세인, 사이클로헥사실록세인, 메틸프로판다이올, 글리세린, 폴록사머184, 해바라기씨오일, 살구씨오일, 올리브오일, 호호바씨오일, 브로콜리추출물, 토마토추출물, 사과추출물, 바나나추출물, 양배추추출물, 당근추출물, 검정콩추출물, 참깨추출물, 귀리가루추출물, 소듐코코일애플아미노산, 헥실렌글라이콜, 테트라소듐글루타메이트다이아세테이트, 포타슘코코일글리시네이트, 에틸헥실글리세린, 세틸피리디늄클로라이드, 카프릴릴글라이콜, 코카미도프로필피지-다이모늄클로라이드포스페이트, 시트릭애씨드, 유칼립투스잎오일, 라임전초오일, 구주소나무잎오일, 오렌지껍질오일, 베르가모트오일, 레몬껍질오일, 리모넨, 리날룰",30대,복합성,None,62,24856
"[백송민 PICK] 수이사이 뷰티 클리어 파우더 워시 3종 택1 (오리지날, 블랙, 골드 32P15P)",24000,"탤크, 소듐코코일이세티오네이트, 소듐C14-16올레핀설포네이트, 소듐라우로일글루타메이트, 포타슘라우레이트, 소듐미리스토일글루타메이트 카라기난, 실크가루, 메티콘, 메틸파라벤, 아이소스테아릴알코올, 비에이치티, 다이프로필렌글라이콜, 에틸글루코사이드, 락틱애씨드, 포타슘하이드록사이드, 프로테아제, 소듐하이알루로네이트, 리파아제",20대,복합성,None,63,750
[고우림 PICK] 스트라이덱스 약알칼리성 바하 폼클렌저 기획 (150ml+15ml),9900,"정제수, 스테아릭애씨드, 글리세린, 미리스틱애씨드, 라우릭애씨드, 포타슘하이드록사이드, 피이지-8, 피이지-60글리세릴아이소스테아레이트, 포타슘코코일글리시네이트, 코카미도프로필베타인, 글리세릴스테아레이트, 피이지-100스테아레이트, 폴리솔베이트20, 솔비탄올리베이트, 폴리쿼터늄-7, 프로판다이올, 향료, 소듐클로라이드, 소듐메틸코코일타우레이트, 클로페네신, 살리실릭애씨드, 메틸다이아이소프로필프로피온아마이드, 카프릴릴글라이콜, 다이소듐이디티에이, 토코페릴아세테이트, 소듐하이알루로네이트, 병풀추출물, 무화과추출물, 올레라케아아크멜라추출물, 줄맨드라미씨추출물, 당느릅나무뿌리추출물, 미역추출물, 멘틸락테이트, 부틸렌글라이콜, 에틸멘탄카복사마이드, 에틸헥실글리세린, 1, 2-헥산다이올, 알로에베라잎추출물, 리모넨, 리날룰",20대,"지성, 복합성",None,64,5521
