상품명,가격,성분,나이,피부타입,피부고민,랭킹,리뷰수
[1등 클렌징밤]바닐라코 클린잇제로 클렌징 밤 오리지널 100ml,20000,"에칠헥실팔미테이트, 세틸에칠헥사노에이트, 피이지-20글리세릴트리이소스테아레이트, 피이지-10이소스테아레이트, 합성왁스, 온천수, 지치뿌리추출물, 토코페릴아세테이트, 대나무잎/줄기추출물, 루이보스추출물, 안젤리카뿌리추출물, 아세로라추출물, 폴리디에칠렌글라이콜아디페이트/아이피디아이코폴리머, 아크릴레이트/암모늄메타크릴레이트코폴리머, 아크릴레이트/메톡시피이지-15메타크릴레이트코폴리머, 페녹시에탄올, 부틸렌글라이콜, 정제수, 향료, 1,2-헥산 디올, 에칠헥실글리세린",20대,"건성, 복합성",None,11,6042
[단독기획]메이크프렘 세이프 미 릴리프 모이스처 비건 클렌징오일 리필기획 (210ml+100ml 증정),28000,"해바라기씨오일, 살구씨오일, 카프릴릭/카프릭트라이글리세라이드, 아이소프로필미리스테이트, 옥틸도데칸올, 에톡시다이글라이콜, 솔베스-30테트라올리에이트,  피마자씨오일, 세틸에틸헥사노에이트, 호호바씨오일, 블랙윌로우나무껍질추출물, 유향나무오일, 토코페롤, 정제수",30대,복합성,None,12,2442
[한정기획옵션선택] 프리메라 페이셜 마일드 필링 100ml 기획,20000,"정제수, 글리세린, 스테아트라이모늄메토설페이트, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 아이소프로필알코올, 다이스테아릴다이모늄클로라이드, 리모넨, 코카미도프로필베타인, 브로콜리추출물, 캐모마일꽃추출물, 향료, 보리지추출물, 브루셀스프라우트추출물, 해바라기추출물, 야생딸기잎추출물, 인디안구스베리추출 물, 리날룰, 소듐클로라이드, 인도멀구슬나무추출물, 폴리쿼터늄-51, 시트릭애씨드, 다이소듐이디티에이",30대,복합성,None,13,4298
[온라인 단독기획] 센카 퍼펙트 휩 페이셜 워시 120g 3입 세트,25800,"정제수,글리세린,미리스틱애씨드,팔미틱애씨드,포타슘하이드록사이드,글라이콜다이스테아레이트,다이프로필렌글라이콜,솔비톨,라우릭애씨드,스테아릭애씨드,라우릴베타인,글리세릴스테아레이트에스이,합성왁스,미리스틸베타인,폴리쿼터늄-7,소듐벤조에이트,향료,소듐클로라이드,폴리쿼터늄-6,세틸베타인,아이소프로필알코올,다이소 듐이디티에이,소듐메타바이설파이트,비스-에톡시다이글라이콜사이클로헥산1,4-다이카복실레이트,부틸렌글라이콜,소듐아세틸레이티드하이알루로네이트,세리신,비에이치티,시트릭애씨드,포타슘솔베이트,소듐하이알루로네이트,토코페롤,리모넨",30대,복합성,None,14,1124
에이프릴스킨 캐로틴 아이피엠피 멜팅 클렌징 밤 90ml,21000,"에틸헥실팔미테이트, 솔베스-30테트라올리에이트, 합성왁스, 다이펜타에리스리틸헥사C5-9애씨드에스터, 폴리글리세릴-6다이카프레이트, 글리세린, 솔비톨, 오렌지꽃오일, 리씨열매오일, 자몽껍질오일, 베 르가모트오일, 리모넨, 해바라기씨오일, 리날룰, 수크로오스스테아레이트, 카프릴릭/카프릭트라이글리세라이드, 글리세릴스테아레이트, 스피어민트잎오일, 바추잎잎추출물, 베타-카로틴, o-사이멘-5-올(이소프로필메칠페놀), 토코페롤, 정제수, 부틸렌글라이콜, 당근수, 1,2-헥산다이올, 당근추출물, 당근씨오일",20대,복합성,None,15,102
[단독기획]메이크프렘 세이프 미 릴리프 모이스처 클렌징폼150ml 1+1기획,16000,"정제수, 소듐코코일이세티오네이트, 글리세린, 소듐메틸코코일타우레이트, 베타인, 판테놀, 라즈베리추출물, 쓴박하추출물, 소듐하이알루로네이트, 바오밥나무열매추출물, 코코-베타인, 포타슘코코일글리시네이트, 포타슘벤조에이트, 소듐클로라이드, 폴리쿼터늄-67, 포타슘코코에이트, 소듐아세테이트, 1,2-헥산다이올, 에틸헥실글리세린, 시트릭애씨드, 다이소듐이디티에이, 로즈마리잎오일, 다이프로필렌글라이콜",30대,복합성,None,16,21561
메이크프렘 저자극 순둥 클렌징 밀크 기획 (200ml+폼50ml),24000,"정제수,올리브오일,잇꽃씨오일,아이소펜틸다이올,글리세린,글리세릴스테아레이트,데실글루코사이드,아라키딜알코올,1,2-핵산다이올,돌콩단백질,백미꽃추출물,메도우폼씨오일,세라마이드엔피,하이드롤 라이즈드하이알루로닉애씨드,소듐하이알루로네이트,판테놀,토코페롤,알란토인,알지닌,에틸실글리세린,잔탄검,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,비스-에톡시다이글라이콜석시네이트,아라키딜글루코사이드,글루코오스,하이드록시아세토페논,베타인살리실레이 트,세테아릴알코올,베헤닐알코올,시트릭애씨드,베르가모트오일,클레리오일",20대,"건성, 복합성",None,17,5041
[정한 PICK]바닐라코 클린잇제로 클렌징밤 포어클래리파잉 100ml,20000,"에틸헥실팔미테이트, 세틸에틸헥사노에이트, 피이지-20글리세릴트라이아이소스테아레이트, 피이지-10아이소스테아레이트, 합성왁스, 호호바씨오일, 1,2-헥산다이올, C12-13알킬락테이트, 부틸렌글라이콜, 정제수, 카프릴
로일살리실릭애씨드, 살리실릭애씨드, 티트리추출물, 티트리잎오일, 인도멀구슬나무잎추출물, 인도멀구슬나무꽃추출물, 밤부사 불가리스잎/줄기추출물, 루이보스추출물, 안젤리카뿌리추출물, 아세로라추출물",20대,복합성,None,18,5196
바이오더마 센시비오 H2O 500ml,27000,"정제수, 피이지-6카프릴릭/카프릭글리세라이즈, 다이소듐이디티에이, 세트리모늄브로마이드, 프로필렌글라이콜, 오이열매추출물, 프룩토올리고사카라이드, 만니톨, 자일리톨, 람노오스
※제공된 성분은 동일 제품이라도 경우에 따라 변경될 수 있습니다. 최신정보는 제품 포장의 성분을 참고하시거나 본사 고객센터(02-523-7676)으로 연락 부탁 드립니다",30대,복합성,None,19,48098
[디렉터파이 PICK] 에스네이처 아쿠아 라이스 약산성 클렌징폼 160ml 기획(+20ml),19000,"쌀추출물,글리세린,소듐코코일글라이시네이트,솔비톨,정제수,소듐라우로일글루타메이트,다이소듐코코암포다이아세테이트, 1,2-헥산다이올,당호박추출물,팥추출물,라우릴베타인,쌀가루,소듐클로라이드,하이드록시프로필스타치포스페이트,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,폴리쿼터늄-22,헥실렌글라이콜,에틸헥실글리세린,하이드록시아세토페논,시트릭애씨드",30대,"건성, 복합성",None,20,862
