상품명,가격,성분,나이,피부타입,피부고민,랭킹,리뷰수
[빠니보틀PICKNEW] 비레디 트루 톤 로션 33ml 기획(+10ml 증정),37000,"정제수, 호모살레이트, 부틸렌글라이콜, 디에칠아미노하이드록시벤조일헥실벤조에이트, 에칠헥실살리실레이트, 글리세린, 티타늄디옥사이드 (CI 77891), 비스-에칠헥실옥시페놀메톡시페닐트리아 진, C12-15알킬벤조에이트, 다이아이소프로필세바케이트, 메틸트라이메티콘, 테레프탈릴리덴디캠퍼설포닉애씨드, 1,2-헥산다이올, 소듐 하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 하이알루로닉애씨드, 소듐아세틸레이티드 하이알루로네이트, 포타슘세틸포스페이트, 세테아릴알코올, 트로메타민, 황색산화철, 글리세릴스테아레이트, 베헤닐알코올, 트라이메틸 실록시실리케이트, 폴리아크릴레이트크로스폴리머-6, 잔탄검, 소듐폴리아크릴로일다이메틸타우레이트, 마이카, 하이드로제네이티드레시 틴, 적색산화철, 폴리C10-30알킬아크릴레이트, 에틸헥실글리세린, 알루미늄하이드록사이드, 폴리에스터-1, 스테아릭애씨드, 실리카다이 메틸실릴레이트, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 트라이에톡시카프릴릴실레인, 팔미틱애씨드, 향료, 다이소듐이디티에 이, 아데노신, 흑색산화철, 에탄올, 마트리카리아꽃추출물, 미리스틱애씨드, 프로판다이올, 라우릭애씨드, 말라카이트추출물, 토코페롤",20대,"건성, 복합성",None,16,334
비오템옴므 아쿠아파워 프레시 로션 인 젤 200ml,62000,정제수 페퍼민트잎수 변성알코올 프로필렌글라이콜 글리세린 부틸렌글라이콜 피이지-20 피이지-8 피피지-6-데실테트라데세스-30 비스-피이지-18메틸에터다이메틸실레인 카보머 페녹시에탄올 향료 프로판다이올  에틸헥실글리세린 포타슘하이드록사이드 멘톨 아데노신 알지닌 시트릭애씨드 살리실릭애씨드 리날룰 리모넨 알테로모나스발효추출물 비 트레오스실라발효물 벤질살리실레이트 하이드록시시트로넬알 시트로넬올 쿠마린 토코페롤,30대,"건성, 복합성","보습, 진정",20,767
[NEW] 라운드랩 포 맨 1025 독도 올인원 플루이드 200ml,24000,"정제수, 다이프로필렌글라이콜 , 카프릴릴메티콘, 하이드로제네이티드폴리(C6-14올레핀), 메틸프로판다이올, 1,2-헥산다이올, 카프릴릭/카프릭트라이글리세라이드, 글리세린, 해수, 부틸렌글라이콜, 하 이드로제네이티드레시틴, 토코페롤, 연꽃꽃추출물, 효모발효물, 개똥쑥추출물, 쌀추출물, 판테놀, 소듐폴리아크릴로일다이메틸타우레이 트, 팔미틱애씨드, 소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트, 에틸헥실글리세 린, 폴리글리세릴-2스테아레이트, C14-22알코올, 글루코오스, 글루코노락톤, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 글리세릴스테아레이트, C12-16알코올, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, C12-20알킬글루코사이드, 카프릴릴글라이콜, 스테아릴알코올, 잔탄검, 트로메타민, 다이소듐이디티에이+",20대,복합성,"보습, 진정",22,530
우르오스 올인원 200ml 2종 택 1,29700,"■ 우르오스 올인원 스킨밀크 200ml
정제수, 글리세린, 하이드로제네이티드폴리(C6-12올레핀), 에탄올, 폴리글리세릴-10아이소스테아레이트, 아데노신포스페이트, 하이드록시프로필사이클로덱스트린, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 부틸렌글라이콜, 글리세릴카프릴레이트, 폴리글리세릴-10스테아레이트, 소듐아이소스테아로일락테이트, 소듐락테이트, 소듐하이드록사이드, 클로브꽃추출물, 사철쑥꽃추출물, 스타아니스열매/씨오일, 서양측백나무잎오일, 아틀라스시다나무껍질오일, 라반딘오일, 라임전초오일, 페퍼민트오일, 구주소나무잎오일, 로즈마리잎오일, 터펜틴, 리날룰, 리모넨

■ 우르오스 올인원 스킨로 션 200ml
정제수, 에탄올, 펜틸렌글라이콜, 글리세린, 베타인, 피이지-6, 피이지-32, 아데노신포스페이트, 소듐하이드록사이드, 소듐다이라우미도글루타미드라이신, 피피지-6-데실테트라데세스-30, 알진, 시트릭애씨드, 소듐하이알루로네이트, 스타아니스열매/씨오일, 서양측백나무잎오일, 아틀라스시다나무껍질오일, 라반딘오일, 라임전초오일, 페퍼민트오일, 구주소나무잎오일, 로즈마리잎오일, 페녹시에탄 올, 터펜틴, 리날룰",20대,복합성,"보습, 진정",25,4152
포맨트 시그니처 올인원 에센스 96ml,28900,"정제수, 에칠헥실메톡시신나메이트, 호모살레이트, 비스-에칠헥실옥시페놀메톡시페닐트리아진, 다이프로필렌글라이콜, 다이페닐실록시페닐트라이메티콘, 에칠헥실살리실레이트, 티타늄디옥사이드, 나이아신아마이드, 글리 세릴스테아레이트, 부틸옥틸살리실레이트, 폴리글리세릴-2스테아레이트, 스테아릭애씨드, 스테아릴알코올, 부틸렌글라이콜, 사이클로펜 타실록세인, 솔비탄세스퀴올리에이트, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 카프릴릴글라이콜, 소듐메틸스테아로일타우레이트, 트로메타민, 펜틸렌글라이콜, 하이드록시아세토페논, 아크릴레이트/에틸헥실아크릴레이트/다이메티콘메타크릴레이트코폴리머, 향 료, 트레할로오스, 트라이에톡시실릴에틸폴리다이메틸실록시에틸헥실다이메티콘, 에틸헥실글리세린, 아데노신, 다이소듐이디티에이, 1,2-헥산다이올, 병풀추출물, 아라키딕애씨드, 황금추출물, 호장근뿌리추출물, 팔미틱애씨드, 소듐하이알루로네이트, 트루로즈오브예리코추출물, 스페인감초뿌리추출물, 녹차추출물, 올레익애씨드, 로즈마리잎추출물, 마트리카리아꽃추출물, 대왕송잎추출물, 칡뿌리추출물, 달 맞이꽃추출물, 당느릅나무뿌리추출물, 하이드롤라이즈드하이알루로닉애씨드, 하이드록시프로필트라이모늄하이알루로네이트, 소듐하이알 루로네이트크로스폴리머, 소듐아세틸레이티드하이알루로네이트, 시트로넬올, 제라니올, 헥실신남알, 리날룰,",20대,"건성, 복합성",보습,30,365
아이오페 맨 올데이 퍼펙트 올인원 120ml 기획(+30ml 증정),38000,"정제수, 글리세린, 베타인, 변성알코올, 다이프로필렌글라
이콜, 사이클로펜타실록세인, 나이아신아마이드, 1,2-헥산
다이올, 실리카, 사이클로헥사실록세인, 세테아릴알코올,
다이메티콘올, 아크릴레이트/C10-30알킬아크릴레이트
크로스폴리머, 글리세릴스테아레이트, 트로메타민, 향료,
하이드로제네이티드레시틴, 토코페롤, 글 리세릴카프릴레
이트, 프로판다이올, 스테아릭애씨드, 폴리글리세릴-3메
틸글루코오스다이스테아레이트, 팔미틱애씨드, 에틸헥실
글 리세린, 멘톡시프로판다이올, 아데노신, 펜틸렌글라이
콜, 덱스트린, 다이소듐이디티에이, 페퍼민트추출물, 바이
오사카라이드검-1,  맥주효모추출물, 미리스틱애씨드, 라
우릭애씨드",30대,복합성,"보습, 진정",31,244
라끄베르 옴므 올인원 에센스 1+1 기획 2종 택 1,28000,"정제수, 글리세린, 1,2-헥산다이올, 다이프로필렌글라이콜, 에틸아이소스테아레이트, 글리세레스-26, 나이아신아마이드, 비스-피이지-18메틸에터다이메틸실레인, 하이드로제네이티드폴리데센, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 마카뿌리추출물, 잔탄검, 변성알코올, 아데노신, 트라이소듐이디티에이, 솔비톨, 귤껍질추출물, 조류추출물, 페녹시에탄올, 포타슘솔베이트, 향료, 리날룰, 리모넨, 벤질벤조에이트, 알파-아이소메틸아이오논",30대,복합성,"보슺, 진정",32,1007
닥터지 레드 블레미쉬 포 맨 올인원 오일컷 로션 150ml 기획(+30ml 추가증정),32000,"정제수, 부틸렌글라이콜, 베타인, 카프릴릴메티콘, 나이아신아마이드, 실리카, 메틸트라이메티콘, 1,2-헥산다이올, 에리스리톨, 커피콩추출물, 사과추출물, 스테아릴다이메티콘, 소 듐아크릴레이트코폴리머, 병풀추출물, 하이드록시아세토페논, 알지닌, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 카보머, 옥타데센, 폴리아크릴레이트-13, 에틸헥실글리세린, 녹차추출물, 메도우스위트꽃추출물, 사탕무뿌리추출물, 레몬추출물, 글루코노락톤, 아데노신, 하이드로제네이티드폴리아이소부텐, 레시틴, 다이소듐이디티에이, 폴리글리세릴-10라우레이트, 에틸헥실팔미테이트, 솔비탄아이소스테아레이트, 다이프로필렌글라이콜, 하이드롤라이즈드하이알루로닉애씨드, 하이드로제네이티드레시틴, 판테놀, 수크로오스다이스테 아레이트, 마데카소사이드, 세라마이드엔피, 아시아티코사이드, 마데카식애씨드, 아시아틱애씨드",30대,"지성, 복합성","보습, 진정",38,609
[전구매 증정] 피지오겔 DMT 포맨 플루이드 100ml,35000,"정제수, 글리세린, 부틸렌글라이콜, 카프릴릴메티콘, 트레할로오스, 1,2-헥산다이올, 하이드로제네이티드폴리(C6-14올레핀), 다이페닐실록시페닐트라이메티콘, 하이드록시에틸우레아, 하이드로제네이티드레시틴, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 다이메티콘/페닐비닐다이메티콘크로스폴리머, 트로메타민, 나이아신아마이드, 판테놀, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 트라이소듐이디티에이, 베타-글루칸, 카프릴릭/카프릭트라이글리세라이드, 스쿠알란, 병풀추출물, 하이드롤라이즈드소듐하이알루로네이트, 다이포타슘글리시리제이 트, 세라마이드엔피, 카퍼트라이펩타이드-1",30대,복합성,보습,41,65
다슈 맨즈 멀티 커버 스틱 파운데이션[1호2호],29000,"카프릴릭/카프릭트라이글리세라이드,티타늄디옥사이드,합성왁스,C12-15알킬벤조에이트,에칠헥실메톡시신나메이트,하이드로제네이티드폴리아이소부텐,트라이에틸헥사노인,피토스테릴/이소스테아릴/세틸/스테아릴/ 베헤닐다이머디리놀리에이트,펜타에리스리틸테트라아이소스테아레이트,디에칠아미노하이드록시벤조일헥실벤조에이트,에이치디아이/트라 이메틸올헥실락톤크로스폴리머,정제수,비닐다이메티콘/메티콘실세스퀴옥세인크로스폴리 머,세틸피이지/피피지-10/1다이메티콘,알루미늄 하이드록사이드,트라이에톡시카프릴릴실레인,다이메티콘,솔비탄아이소스테아레이트,알파-비사보롤,스테아랄코늄헥토라이트,부틸렌글라이콜,스테아릭애씨드,카프릴릴글라이콜,프로필렌카보네이트,향료,페녹시에탄올,실리카,펜타에리스리틸테트라-다이-t- 부틸하이드록시하이 드로신나메이트,헥실렌글라이콜,아데노신,녹두추출물,알란토인,폴리쿼터늄-51",20대,"지성, 건성",None,45,132
아이디얼 포 맨 퍼펙트 올인원 기획(150ml+30ml)(2023),29000,"정제수, 글리세린, 메틸트라이메티콘, 메틸프로판다이올, 에틸헥실스테아레이트, 에탄올, 1,2-헥산다이올, 나이아신아마이드, 하이드로제네이티드폴리(C6-14올레핀), 폴리글리세릴-3다이스테아레이트, 다시마추출물, 한련초잎추출물, 병풀추출물, 무화과추출물, 올레라케아아크멜라추출물, 당느릅나무뿌리추출물, 줄맨드라미씨추출물, 슈도 알테로모나스발효추출물, 플랑크톤추출물, 하이드로제네이티드레시틴, 아르간커넬오일, 글리세릴스테아레이트, 트레할로오스, 알지닌,  카보머, 글리세릴스테아레이트시트레이트, 부틸렌글라이콜, 판테놀, 소듐스테아로일글루타메이트, 아데노신, 다이메티콘, 베헤닐알코올, 스쿠알란, 하이드로제네이티드폴리아이소부텐, 세테아릴알코올, 다이소듐이디티에이, 베타인, 프룩토올리고사카라이드, 아이소노닐아이소노나노에이트, 폴리글리세릴-10스테아레이트, 글리세릴스테아레이트에스이, 베타-글루칸, 스테아릭애씨드, 시어버터, 폴리글리세릴-2 다이폴리하이드록시스테아레이트, 콜레스테롤, 하이드롤라이즈드하이알루로닉애씨드, 세라마이드엔피, 이눌린라우릴카바메이트, 잔탄검, 다이소듐스테아로일글루타메이트, 세린, 알라닌, 프롤린, 해수, 소듐포스페이트, 마데카소사이드, 소듐하이드록사이드, 아세틸헥사펩타이드-8, 에틸헥실글리세린, 카프릴릴글라이콜, 향료, 부틸페닐메틸프로피오날, 리모넨",20대,복합성,보습,46,1289
라끌랑 내츄럴 커버 옴므쿠션 4종 택1,35000,"티트리잎수, 병풀추출물, 메칠프로판디올, 티타늄디옥사이드, 사이클로펜타실록산, 카프릴릭/카프릭트리글리세라이드, 에칠헥실메톡시신나메이트, 소듐하이알루로네이트, 징크옥사이드, 사이클로헥사실록산, 사이클로메치콘, 디이소스테아릴말레이트, 트리메칠실록시실리케이트, 실리카, 알부틴, 황색산화철, 세틸피이지/피피지-10/1디메치콘, 4-메칠벤질리 덴캠퍼, 피이지-10디메치콘, 소르비탄세스퀴올리에이트, 소듐클로라이드, 적색산화철, 페녹시에탄올, 흑색산화철, 향료, 메치콘, 트리에톡시카프릴릴실란, 동백꽃추출물, 메칠실라놀만누로네이트, 자일리틸글루코사이드, 무수자일리톨, 자일리톨, 감나무잎추출물, 녹차추출 물, 포도추출물, 밤껍질추출물, 홍화추출물, 초피나무껍질추출물, 커피추출물, 호장근추출물, 비에이치티, 아데노신",20대,지성,None,51,289
플리프 시카-알로에 카밍 올인원 로션 200ml (트러블 피부용),24000,"알로에베라잎추출물(77%), 부틸렌글라이콜, 병풀추출물(3%), 글리세린, 나이아신아마이드, 카프릴 릭/카프릭트라이글리세라이드, C13-15알케인, 베타 인, 세테아릴올리베이트, 솔비탄올리베이트, 세테아릴 알코올, 스쿠알란, 프로판다이올, 녹차추출물, 베타-글 루칸, 시트릭애씨드, 마카다미아씨오일, 하이드로제네 이티드레시틴, 폴 리글리세릴-10올리에이트, 다이프로 필렌글라이콜, 아시아티코사이드, 마데카식애씨드, 아 시아틱애씨드, 세라마이드엔피, 피버퓨추출물, 하이드 롤라이즈드타피오카덩이줄기추출물, 여주열매추출물, 락토바실러스발효물, 망고추출물, 얼룩파인애플추출물, 실리카, 암모늄폴리아크릴로일다이메틸타우레이트, 판 테놀, 잔탄검, 다이소듐이디티에이, 다이포타슘글리시 리제이트, 알란토인, 1,2-헥산다이올, 하이 드록시아세 토페논, 에틸헥실글리세린",20대,"지성, 복합성",진정,52,76
플리프 시카-알로에 클렌징 젤 폼 200ml (여드름기능성약산성저자극테스트완료),16000,"정제수,포타슘라우레스포스페이트,글리세린,라우릴하이드록시설테인,코코-글루코사이드,소듐코코일글루타메이트,시트릭애씨드,병풀추출물,알로에베라잎추출물,쑥추출물,카올린, 아시아티코사이드,마데카소사이드,4-터피네올,포타슘코코일글리시네이트,1,2-헥산다이올,살리실릭애씨드,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,레몬오일,오렌지껍질오일,베르가모트오일,에틸헥실글리세린,카프릴릴글라이콜,리모넨,리날룰",30대,"지성, 복합성",None,55,58
라운드랩 포 맨 자작나무 수분 로션 200ml,24000,"정제수, 부틸렌글라이콜, 글리세린, 아이소노닐아이소노나노에이트, 자작나무수액(10,967ppm), 베타인, 스쿠알란, 하이드로제네이티드폴리(C6-14올레핀), 글리세릴글루코사이드, 다이포타슘글리시리제이트, 알란토인, 쇠비름추출물, 감나무잎추출물, 포도추출물, 잇꽃꽃추출물, 커피콩추출물, 호장근뿌리추출물, 밤껍질추출물, 초피나무열매추출물, 녹차추출물, 소듐하이알루로네이트, 하이알루로닉애씨드, 아스코빅애씨드, 치자추출물, 토코페롤, 에틸헥실글리세린, 다이프로필렌글라이콜, 세테아릴올리베이트, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 솔비탄올리베이트, 하이드록시아세토페 논, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 카프릴릴글라이콜, 솔비탄아이소스테아레이트, 덱스트린, 글리세릴카프릴레이트, 1,2-헥산다이올, 다이소듐이디티에이",20대,복합성,"보습, 진정",57,1815
라운드랩 포 맨 자작나무 수분 토너 200ml,24000,"정제수, 부틸렌글라이콜, 글리세린, 프로판다이올, 다이프로필렌글라이콜, 자작나무수액, 1,2-헥산다이올, 글리세릴글루코사이드, 다이포타슘글리시리제이트, 알란토인, 쇠비름추출물, 소듐하이알루로네이트, 하이알 루로닉애씨드, 아스코빅애씨드, 감나무잎추출물, 포도추출물, 호장근뿌리추출물, 커피콩추출물, 잇꽃꽃추출물, 밤껍질추출물, 녹차추출 물, 초피나무열매추출물, 글루코노락톤, 토코페롤, 베타인, 잔탄검, 글리세릴카프릴레이트, 덱스트린, 치자추출물, 에틸헥실글리세린,  다이소듐이디티에이",20대,복합성,"보습, 진정",58,1322
[1+1 한정기획] 랩시리즈 올인원 트리트먼트 50ml 1+1 기획세트,44000,"올-인-원 훼이스 트리트먼트 : 정제수 , 부틸렌글라이콜 , 스쿠알란 , 프로필렌글라이콜디카프릴레이트/디카프레이트 , 글리세릴스테아레이트에스이 , 메칠메타크릴레이트크로스폴리머 , 하이드로제네이티드레시틴 , 옥틸도데실네오펜타노에이트 , 나일론-12 , 슈크로오스 , 갈고리가시우무추출물 , 겔리디엘라 아세로사추출물 , 희 첨추출물 , 호장근추출물 , 슈가켈프추출물 , 포도씨추출물 , 로즈마리추출물 , 호프추출물 , 탄제린껍질추출물 , 석류즙 , 에칠비스이 미노메칠구아이아콜망가니스클로라이드 , 아세틸글루코사민 , 아세틸헥사펩타이드-8 , 리놀레닉애씨드 , 소듐하이알루로네이트 , 디메치콘 , 카페인 , 리놀레익애씨드 , 글리세린 , 효모추출물 , 폴리아크릴아마이드 , C13-14이소파라핀 , 포타슘스테아레이트 , 라우레스-7 , 노르디하이드로구아이아레틱애씨드 , 사이클로덱스트린 , p-아니식애씨드 , 향료 , 디소듐이디티에이 , 페녹시에탄올 [ILN39639] *제 공된 성분은 동일 제품이라도 경우에 따라 변경될 수 있습니다. 최신정보는 제품 포장의 성분을 참고하시거나 본사 고객관리지원팀으로 연락 부탁 드립니다.",30대,복합성,"보습, 진정",59,186
우르오스 페이스워시 더블 기획(100g2),25500,"■ 정제수, 라우릴포스페이트, 페트롤레움다이스틸레이트, 메틸글루세스-10, 솔비톨, 소듐코코암포아세테이트, 포타슘하이드록사이드, 데실글루코사이드, 소듐라우레스-11카복실레이트, 다이프로필렌글라이콜, 폴리쿼터늄-50, 피이지-160솔비탄트라이아이소스테아레이트, 에틸헥실글리세린, 페녹시에탄올, 피이지-65M, 스타아니스열매/씨오일, 서양측백나무 잎오일, 아틀라스시다나무껍질오일, 라반딘오일, 라임전초오일, 페퍼민트오일, 구주소나무잎오일, 로즈마리잎오일, 터펜틴, 레몬껍질오 일, 메톡시메틸부탄올, 다이소듐이디티에이, 리모넨",30대,"지성, 복합성",None,62,659
다슈 맨즈뷰티 2종 기획세트 (스틱 파운데이션 + 듀얼 트릭 스틱),45000,"""파운데이션 1호 : 카프릴릭/카프릭트라이글리세라이드, 티타늄디옥사이드, 합성왁스, C12-15알킬벤조에이트, 피토스테릴/이소스테아릴/세틸/스테아릴/베헤닐다이머디리놀리에이트, 에칠헥실메 톡시신나메이트, 하이드로제네이티드폴리아이소부텐, 트라이에틸헥사노인, 펜타에리스리틸테트라아이소스테아레이트, 디에칠아미노하이 드록시벤조일헥실벤조에이트, 정제수, 세틸피이지/피피지-10/1다이메티콘, 알루미늄하이드록사이드, 트라이에톡시카프릴릴실레인, 다이 메티콘, 솔비탄아이소스테아레이트, 알파-비사보롤, 에이치디아이/트라이메틸올헥실락톤크로스폴리머, 라우로일라이신, 부틸렌글라이콜, 스테아랄코늄헥토라이트, 비닐다이메티콘/메티콘실세스퀴옥세인크로스폴리머, 스테아릭애씨드, 카프릴릴글라이콜, 향료, 페녹시에탄올, 프로필렌카보네이트, 펜타에리스리틸테트라-다이-t-부틸하이드록시하이드로신나메이트, 헥실렌글라이콜, 아데노신, 녹두추출물, 알란토인, 실리카, 폴리쿼터늄-51, 마이카, 황색산화철, 적색산화철, 흑색산화철

트릭스틱 : (컨실러)
옥틸도데칸올, C12-15알킬벤조에이 트, 세틸에틸헥사노에이트, 실리카, 폴리메틸메타크릴레이트, 폴리에틸렌, 오조케라이트, 카프릴릭/카프릭트라이글리세라이드, 펜타에리스리틸테트라아이소스테아레이트, 폴리하이드록시스테아릭애씨드, 메티콘, 토코페롤, 카프릴릴글라이콜, 페녹시에탄올, 펜타에리스리틸 테트라-다이-t-부틸하이드록시하이드로신나메이트, 헥실렌글라이콜, 알로에베라잎즙가루, 티트리잎오일, 호호바씨오일, 마이카, 티타늄 디옥사이드, 황색산화철, 적색산화철, 흑색산화철
(쉐딩)
에틸헥실팔미테이트, 옥틸도데칸올, 실리카, 다이메티콘, 합성왁스, 다이메 티콘, 폴리글리세릴-2트라이아이소스테아레이트, 다이메티콘크로스폴리머, 에틸렌/프로필렌코폴리머, 솔비탄올리베이트, 합성비즈왁스, 메티콘, 1,2-헥산다이올, 다이스테아다이모늄헥토라이트, 마이카, 티타늄디옥사이드, 황색산화철, 적색산화철, 흑색산화철
""",30대,지성,None,63,453
다슈 데일리 유브이 컷 골프 패치 5회분(패치 5쌍),15000,,20대,"건성, 복합성",진정,67,449
[이진욱PICK]오딧세이 챕터파이브 안티옥시던트 라이트하우스 2종 택1 (토너모이스처라이저),38000,"[토너] 정제수, 프로판다이올, 글리세린, 변성알코올, 나이아신아마이드, 다이프로필렌글라이콜, 1,2-헥산다이올, 부틸렌글라이콜, 트레할로오스, 베타인, 피피지-13-데실테트라데세스-24, 향료, 해수, 에틸헥실글리세린, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 만다린껍질추출물, 다이소듐이디티에이, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 아데노신, 트로메타민, 빌베리열매추출물, 리모넨, 사탕수수추출물, 펜틸렌글라이콜, 솔비탄아이소스테아레이트, 폴리솔베이트60, 오렌지추출물, 레몬추출물, 비터오렌지꽃추출물, 리날 룰, 설탕단풍추출물, 토코페롤
[모이스처라이저] 정제수, 부틸렌글라이콜, 글리세린, 다이카프릴릴카보네이트, 메틸트라이메티콘, 나이아신아마이드, 1,2-헥산다이올, 하이드로제네이티드폴리(C6-14올레핀), 세테아릴알코올, 글리세릴스테아레이트, 카페인, 프로판다이올, 향료, 팔미틱애씨드, 스테아릭애씨드, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 하이드록시에틸아크릴레이트/소듐아크릴로일 다이메틸타우레이트코폴리머, 실리카, 해수, 글리세릴카프릴레이트, 소듐스테아로일글루타메이트, 하이드록시프로필스타치포스페이트,  트로메타민, 하이드로제네이티드레시틴, 만다린껍질추출물, 다이소듐이디티에이, 에틸헥실글리세린, 아데노신, 폴리글리세릴-3메틸글루 코오스다이스테아레이트, 리모넨, 솔비탄아이소스테아레이트, 바쿠치올, 펜틸렌글라이콜, 리날룰, 비터오렌지꽃추출물, 토코페롤, 미리 스틱애씨드, 라우릭애씨드",20대,"건성, 복합성",보습,69,304
[전구매 증정] 피지오겔 DMT 포맨 페이셜 크림 80ml,30000,"정제수, 글리세린, 펜타에리스리틸테트라에틸헥사노에이트, 부틸렌글라이콜, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 1,2-헥산다이올, 글리세릴스테아레이트, 나이아신아마이드, 판테놀, 카프릴릭/카프릭트라이글리세라이드, 스쿠알란, 병풀추출물, 알란토인, 하이드롤라이즈드소듐하이알루로네이트, 하이드로제네이티드레시틴, 다이포 타슘글리시리제이트, 세라마이드엔피, 카퍼트라이펩타이드-1, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민",30대,"건성, 복합성",보습,70,92
[전구매 증정] 피지오겔 DMT 포맨 에센셜 토너 200ml,30000,"정제수, 다이프로필렌글라이콜, 글리세린, 1,2-헥산다이올, 펜타에리스리틸테트라에틸헥사노에이트, 헥실데실에틸헥사노에이트, 변성알코올, 카프릴릭/카프릭트라이글리세라이드, 스쿠알란, 알지닌, 피토스테롤, 세린, 베타인, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 다이메티콘, 사이클로펜타실록세인, 소듐하이알루로네이트, 소듐피씨에이, 하이드록시에틸우레아, 트로메타민, 트라이소듐이디티에이",30대,복합성,"보습, 진정",71,67
아이오페 맨 안티에이징 에멀젼EX 120ml,36000,"정제수, 부틸렌글라이콜, 세틸에틸헥사노에이트, 글리세린, 펜타에리스리틸테트라에틸헥사노에이트, 변성알코올, 폴리글리세릴-3다이스테아레이트, 1,2-헥산다이올, 글리세릴스테아레이트시트레이트, 세테아릴알코올,  페닐트라이메티콘, 비스-하이드록시에톡시프로필다이메티콘, 글리세릴스테아레이트, 카보머, 트로메타민, 하이드록시에틸아크릴레이트/ 소듐아크릴로일다이메틸타우레이트코폴리머, 향료, 잔탄검, 카프릴릴글라이콜, 글리세릴카프릴레이트, 효모발효여과물, 프로판다이올,  다이소듐이디티에이, 아데노신, 타우린, 솔비탄아이소스테아레이트, 낫토검, 돌콩추출물, 에틸헥실글리세린, 토코페롤",30대,"건성, 복합성",보습,72,24
라끌랑 슈퍼쉴드 옴므쿠션 3종 택1,39000,"정제수, 사이클로펜타실록세인, 징크옥사이드, 티타늄디옥사이드, 카프릴릴메티콘, 부틸렌글라이콜, 다이프로필렌글라이콜, 다이아이소스테아릴말레이트, 트라이메틸실록시실리케이트, 트라이에틸시트레이트, 라우릴피이지-10트리스(트라이메틸실록시)실릴에틸다이메티콘, 다이메티콘, 나이아신아마이드, 다이펜타에리스리틸헥사하이드록시스테아레이트/헥사스테아레이트/헥사로지네이트, 페닐트라이메티콘, 펜타에리스리틸테트라아이소스테아레이트, 마그네슘설페이트, 아크릴레이트/스테아릴아크 릴레이트/다이메티콘메타크릴레이트코폴리머, 알로에베라잎수, 오렌지오일, 레몬오일, 카멜그라스오일, 와일드제라늄오일, 시트로넬라오일, 양까막까치밥나무씨오일, 에난티아 클로란타껍질추출물, 티트리잎추출물, 해바라기씨오일불검화물, 풍선덩굴꽃/잎/덩굴추출물, 해바라기씨오일, 로즈마리잎추출물, 메틸메타크릴레이트크로스폴리머, 메티콘, 비닐다이메티콘/메티콘실세스퀴옥세인크로스폴리머, 폴리글리세릴-4아이소스테아레이트, 다이메티콘/비닐트라이메틸실록시실리케이트크로스폴리머, 다이스테아다이모늄헥토라이트, 1,2-헥산다이올, 알루미늄하이드록사이드, 트라이에톡시카프릴릴실레인, 카프릴릴글라이콜, 폴리글리세릴-6폴리리시놀리에이트, 스테아릭애씨드, 글리세 릴카프릴레이트, 에틸헥실글리세린, 아데노신, 옥틸도데칸올, 토코페롤, 올레아놀릭애씨드, 황색산화철, 적색산화철, 흑색산화철",20대,지성,None,73,357
