상품명,가격,성분,나이,피부타입,랭킹,리뷰수
정샘물 에센셜 스킨 누더 쿠션 (본품+리필),42000,"★ 페어 : 정제수, 사이클로펜타실록산, 티타늄디옥사이드 (CI 77891), 에칠헥실메톡시신나메이트, 트리메칠실록시실리케이트, 에칠헥실살리실레이트, 글리세린, 피이지-10디메치콘, 부틸렌글라이콜, 세틸에칠헥사노에이트, 나이아신아마이드, 펜틸렌글라이콜, 합성플루오르플로고파이트, 카프릴릴메치콘, 폴리프로필실세스퀴옥산, 브이피/헥사데센코폴리머, 마그네슘설페이트, 세틸피이지/피피지-10/1디메치콘, 디스테아디모늄헥토라이트, 스테아릭애씨드, 알루미나, 아크릴레이트/디메치콘코폴리머, 알루미늄하이드록사이드, 트리에톡시카프릴릴실란, 디메치콘, 에칠헥실글리세린, 디메치콘크로스폴리머, 아데노신, 디메치콘/비닐디메치콘크로스폴리머, 폴리글루타믹애씨드, 디소듐이디티에이, 틴옥사이드 (CI 77861), 페녹시에탄올, 향료, 황색산화철 (CI 77492), 적색산화철 (CI 77491), 흑색산화철 (CI 77499), 마이카 (CI 77019) ★ 페어라이트 : 정제수,사이클로펜타실록산,티타늄디옥사이드 (CI 77891),에칠헥실메톡시신나 메이트,트리메칠실록시실리케이트,에칠헥실살리실레이트,글리세린,피이지-10디메치콘,부틸렌글라이콜,세틸에칠헥사노에이트,나이아신아마이 드,펜틸렌글라이콜,합성플루오르플로고파이트,카프릴릴메치콘,폴리프로필실세스퀴옥산,브이피/헥사데센코폴리머,마그네슘설페이트,세틸피이 지/피피지-10/1디메치콘,스테아릭애씨드,디스테아디모늄헥토라이트,알루미나,아크릴레이트/디메치콘코폴리머,알루미늄하이드록사이드,트리에톡시카프릴릴실란,디메치콘,에칠헥실글리세린,디메치콘크로스폴리머,아데노신,디메치콘/비닐디메치콘크로스폴리머,폴리글루타믹애씨드,디소 듐이디티에이,틴옥사이드 (CI 77861),페녹시에탄올,향료,황색산화철 (CI 77492),적색산화철 (CI 77491),흑색산화철 (CI 77499),마이카 (CI 77019) ★ 페어핑크 : 정제수, 사이클로펜타실록산, 티타늄디옥사이드 (CI 77891), 에칠헥실메톡시신나메이트, 트리메칠실록시실리케이트, 에 칠헥실살리실레이트, 글리세린, 피이지-10디메치콘, 부틸렌글라이콜, 세틸에칠헥사노에이트, 나이아신아마이드, 펜틸렌글라이콜, 합성플루오르플로고파이트, 황색산화철 (CI 77492), 카프릴릴메치콘, 폴리프로필실세스퀴옥산, 브이피/헥사데센코폴리머, 마그네슘설페이트, 세틸피이 지/피피지-10/1디메치콘, 디스테아디모늄헥토라이트, 스테아릭애씨드, 알루미나, 아크릴레이트/디메치콘코폴리머, 알루미늄하이드록사이드, 트리에톡시카프릴릴실란, 디메치콘, 에칠헥실글리세린, 디메치콘크로스폴리머, 아데노신, 디메치콘/비닐디메치콘크로스폴리머, 폴리글루타믹애씨드, 디소듐이디티에이, 틴옥사이드 (CI 77861), 페녹시에탄올, 향료, 적색산화철 (CI 77491), 흑색산화철 (CI 77499), 마이카 (CI 77019) ★라이트 : 정제수,사이클로펜타실록산,티타늄디옥사이드 (CI 77891),에칠헥실메톡시신나메이트,트리메칠실록시실리케이트,글리세린,에칠헥실살리실레이트,피이지-10디메치콘,부틸렌글라이콜,나이아신아마이드,세틸에칠헥사노에이트,펜틸렌글라이콜,황색산화철 (CI 77492),브이피/ 헥사데센코폴리머,카프릴릴메치콘,폴리프로필실세스퀴옥산,마그네슘설페이트,세틸피이지/피피지-10/1디메치콘,합성플루오르플로고파이트,스 테아릭애씨드,디스테아디모늄헥토라이트,알루미나,아크릴레이트/디메치콘코폴리머,알루미늄하이드록사이드,트리에톡시카프릴릴실란,디메치콘,에칠헥실글리세린,디메치콘크로스폴리머,아데노신,디메치콘/비닐디메치콘크로스폴리머,폴리글루타믹애씨드,디소듐이디티에이,틴옥사이드(CI 77861),페녹시에탄올,향료,적색산화철 (CI 77491),흑색산화철 (CI 77499),마이카 (CI 77019) ★핑크라이트 : 정제수, 사이클로펜타실록산,  티타늄디옥사이드 (CI 77891), 에칠헥실메톡시신나메이트, 트리메칠실록시실리케이트, 에칠헥실살리실레이트, 글리세린, 피이지-10디메치콘, 부틸렌글라이콜, 세틸에칠헥사노에이트, 나이아신아마이드, 펜틸렌글라이콜, 합성플루오르플로고파이트, 카프릴릴메치콘, 폴리프로필실세스퀴옥산, 브이피/헥사데센코폴리머, 마그네슘설페이트, 세틸피이지/피피지-10/1디메치콘, 디스테아디모늄헥토라이트, 스테아릭애씨드, 알루미나, 아크릴레이트/디메치콘코폴리머, 알루미늄하이드록사이드, 트리에톡시카프릴릴실란, 디메치콘, 에칠헥실글리세린, 디메치콘크로스폴리머, 아데노신, 디메치콘/비닐디메치콘크로스폴리머, 폴리글루타믹애씨드, 틴옥사이드 (CI 77861), 디소듐이디티에이, 페녹시에탄올, 향료, 황 색산화철 (CI 77492), 적색산화철 (CI 77491), 흑색산화철 (CI 77499), 마이카 (CI 77019) ★미디엄 : 정제수,사이클로펜타실록산,티타늄디옥사이드 (CI 77891),에칠헥실메톡시신나메이트,트리메칠실록시실리케이트,글리세린,에칠헥실살리실레이트,피이지-10디메치콘,부틸렌글라이콜,나이아신아마이드,세틸에칠헥사노에이트,펜틸렌글라이콜,황색산화철 (CI 77492),브이피/헥사데센코폴리머,카프릴릴메치콘,폴리프로필실세스 퀴옥산,마그네슘설페이트,세틸피이지/피피지-10/1디메치콘,스테아릭애씨드,디스테아디모늄헥토라이트,합성플루오르플로고파이트,알루미나,아크릴레이트/디메치콘코폴리머,트리에톡시카프릴릴실란,알루미늄하이드록사이드,디메치콘,에칠헥실글리세린,디메치콘크로스폴리머,아데노신, 디메치콘/비닐디메치콘크로스폴리머,폴리글루타믹애씨드,디소듐이디티에이,틴옥사이드(CI 77861),향료,페녹시에탄올,적색산화철 (CI 77491),흑색산화철 (CI 77499),마이카 (CI 77019)",20대,"건성, 복합성",1,11007
"[한정기획베스트립증정]에스쁘아 비벨벳 커버쿠션 뉴클래스 미니립 2종 기획세트(본품+리필+세레나데, 부지루비 2g)",38000,"정제수, 사이클로펜타실록세인, 티타늄디옥사이드 (CI 77891), 에칠헥실메톡시신나메이트, 다이메티콘, 프로판다이올, 폴리메틸메타크릴레이트, 변성알코올, 다이아이소프로필세바케이트, 피이지/피피지-18/18다이메티콘, 징크옥사이드, 티타늄디옥사이드, 아크릴레이트/다이메티콘코폴리머, 다이스테아다이모늄헥토라이트, 글리세린, 아이소도데케인, 소듐클로라이드, 비닐다이메티콘/메티콘실세스퀴옥세인크로스폴리머, 알루미나, 아크릴레이트/폴리트라이메틸실록시메타크릴레이트코폴리머, 황색산화철, 피이지-10다이메티콘, 1,2-헥산다이올, 나일론6/12, 알루미늄하이드록사이드, 트라이에톡시카프릴릴실레인, 향료, 카프릴릴글라이콜, 스테아릭애씨드, 폴리실리콘-11, 적색산화철, 글리세릴카프릴레이트, 쌀겨왁스, 다이소듐이디티에이, 흑색산화철, 부틸렌글라이콜, 보론나이트라이드, 하이알루로닉애씨드, 피토스테롤, 글루코노락톤, 비에이치티, 베타-글루칸, 에틸헥실글리세린",20대,복합성,2,5131
[단독기획] 바닐라코 얼티밋 화이트 쿠션 (본품+리필),38000,"[19 아이보리]
정제수, 사이클로펜타실록세인, 티타늄디옥사이드, 다이메티콘, 트라이메틸실록시실리케이트, 글리세린, 아이소도데케인, 나이아신아마이드, 피이지-10다이메티콘, 1,2-헥산다이올, 다이메
티콘크로스폴리머, 피이지/피피지-18/18다이메티콘, 흰서양송로추출물, 커먼자스민꽃추출물, 연꽃추출물, 프리지어추출물, 블루플래그아이리스추출물, 에델바이스추출물, 마돈나백합비늘줄기추출물, 나팔수선화추출물, 다마스크
장미꽃추출물, 마그네슘설페이트, 폴리글리세릴-3폴리다이 메틸실록시에틸다이메티콘, 옥틸도데칸올, 합성플루오르플로고파이트, 알루미늄하이드록사이드, 스테아릭애씨드, 트라이에톡시카프릴릴실레 인, 알루미나, 폴리하이드록시스테아릭
애씨드, 다이메티콘/비닐다이메티콘크로스폴리머, 폴리글리세릴-4아이소스테아레이트, 다이스테아다이모늄헥토라이트, 아데노신, 아이소프로필티타늄트라이아이소스테아레이트, 트라이소듐에틸렌다이아민다이석시네이트, 네오펜틸글라이콜다
이에틸헥사노에이트, 폴리글리세릴-10라우레이트, 부틸렌글라이콜, 글루타티온, 에틸헥실글리세린, 알지닌, 카보머, 향료, 황색산화철 , 적색산화철, 흑색산화철
[21 로제]
정제수, 사이클로펜타실록세인, 티타늄디옥사이드 , 다이메티콘, 트라이메틸실록시실리케이트, 글리세린, 아이소도데케인, 나이아신아마이드, 피이지-10다이메티콘, 1,2-헥산다이올, 다이메티
콘크로스폴리머, 황색산화철 , 피이지/피피지-18/18 다이메티콘, 흰서양송로추출물, 커먼자스민꽃추출물, 연꽃추출물, 프리지어추출물, 블루플래그아이리스추출물, 에델바이스추출물, 마돈나백 합비늘줄기추출
물, 나팔수선화추출물, 다마스크장미꽃추출물, 옥틸도데칸올, 마그네슘설페이트, 폴리글리세릴-3폴리다이메틸실록시에틸다 이메티콘, 합성플루오르플로고파이트, 알루미늄하이드록사이드, 스테아릭애씨드, 트라이에톡시카프릴릴실레인,
알루미나, 폴리글리세릴-4아이소스테아레이트, 폴리하이드록시스테아릭애씨드, 다이메티콘/비닐다이메티콘크로스폴리머, 다이스테아다이모늄헥토라이트, 아이소프로필티타늄트라이아이소스테아레이트, 아데노신, 트라이소듐에틸렌다이아민다
이석시네이트, 네오펜틸글라이콜다이에틸헥사노에이트, 폴리글리세 릴-10라우레이트, 부틸렌글라이콜, 글루타티온, 에틸헥실글리세린, 알지닌, 카보머, 향료, 적색산화철 , 흑색산화철
[21 아이보리]
정제수, 사이클로펜타실록세인, 티타늄디옥사이드, 다이메티콘, 트라이메틸실록시실리케이트, 글리세린, 아이소도데케인, 나이아신아마이드, 피이 지-10다이메티콘, 1,2-헥산다이올, 다이메티콘크로스폴리머, 황색산화철, 피이지/피피지-18/18다이메티콘, 흰서양송로추출물, 커먼자스민꽃 추출물, 연꽃추출물, 프리지어추출물, 블루플래그아이리스추출물, 에델바이스추출물, 마돈나백합비늘줄기추출물, 나팔수선화추출물, 다마스 크장미꽃추출물, 옥틸도데칸올, 마그네슘설페이트, 폴리글리세릴-3폴리다이메틸실록시에틸다이메티콘, 합성플루오르플로고파이트, 알루미늄 하이드록사이드, 스테아릭애씨드, 트라이에톡시카프릴릴실레인, 알루미나, 폴리글리세릴-4아이소스테아레이트, 폴리하이드록시스테아릭애씨 드, 다이메티콘/비닐다이메티콘크로스폴리머, 다이스테아다이모늄헥토라이트, 아이소프로필티타늄트라이아이소스테아레이트, 아데노신, 트라이소듐에틸렌다이아민다이석시네이트, 네오펜틸글라이콜다이에틸헥사노에이트, 폴리글리세릴-10라우레이트, 부틸렌글라이콜, 글루타티온, 에틸헥실글리세린, 알지닌, 카보머, 향료, 적색산화철, 흑색산화철
[23 미디움]
정제수, 사이클로펜타실록세인, 티타늄디옥사이드, 다이메티콘, 트라이메틸실록시실리케이트, 아이소도데케인, 글리세린, 나이아신아마이드, 피이지-10다이메티콘, 황색산화철, 1,2-헥산다이올, 다이메티콘크로스폴리머, 피이지/피피지-18/18다이메티콘, 옥틸도데칸올, 흰서양송로추출물, 커먼자스민꽃추출물, 연꽃추출물, 프리지어추출물, 블루플래그아이리스추출물, 에델바이스추출물, 마돈나백합비늘줄기추출물, 나팔수선화추출물, 다마스크장미꽃추출물, 마그네슘설페이트, 폴리 글리세릴-3폴리다이메틸실록시에틸다이메티콘, 합성플루오르플로고파이트, 알루미늄하이드록사이드, 스테아릭애씨드, 트라이에톡시카프릴릴 실레인, 알루미나, 폴리글리세릴-4아이소스테아레이트, 폴리하이드록시스테아릭애씨드, 다이메티콘/비닐다이메티콘크로스폴리머, 다이스테아다이모늄헥토라이트, 아이소프로필티타늄트라이아이소스테아레이트, 아데노신, 트라이소듐에틸렌다이아민다이석시네이트, 네오펜틸글라이콜 다이에틸헥사노에이트, 폴리글리세릴-10라우레이트, 부틸렌글라이콜, 글루타티온, 에틸헥실글리세린, 알지닌, 카보머, 향료, 적색산화철, 흑색산화철
[17 페어]
정제수,사이클로펜타실록세인,티타늄디옥사이드 (CI 77891),다이메티콘,트라이메틸실록시실리케이트,글리세린,아이소 도데케인,나이아신아마이드,피이지-10다이메티콘,1,2-헥산다이올,다이메티콘크로스폴리머,피이지/피피지-18/18다이메티콘,흰서양송로추출물,커먼자스민꽃추출물,연꽃꽃추출물,프리지어추출물,블루플래그아이리스추출물,에델바이스추출물,마돈나백합비늘줄기추출물,나팔수선화추출물,다마스크장미꽃추출물,마그네슘설페이트,폴리글리세릴-3폴리다이메틸실록시에틸다이메티콘,합성플루오르플로고파이트,옥틸도데칸올,알루미늄하이드록사이드,스테아릭애씨드,트라이에톡시카프릴릴실레인,알루미나,폴리하이드록시스테아릭애씨드,다이메티콘/비닐다이메티콘크로스폴리 머,다이스테아다이모늄헥토라이트,폴리글리세릴-4아이소스테아레이트,아데노신,트라이소듐에틸렌다이아민다이석시네이트,네오펜틸글라이콜다이에틸헥사노에이트,아이소프로필티타늄트라이아이소스테아레이트,폴리글리세릴-10라우레이트,부틸렌글라이콜,에틸헥실글리세린,알지닌,카보머,향료,황색산화철 (CI 77492),적색산화철 (CI 77491),흑색산화철 (CI 77499)
[22 내추럴]
정제수,사이클로펜타실록세인,티타늄디옥사이 드 (CI 77891),다이메티콘,트라이메틸실록시실리케이트,글리세린,아이소도데케인,나이아신아마이드,피이지-10다이메티콘,황색산화철 (CI 77492),1,2-헥산다이올,다이메티콘크로스폴리머,피이지/피피지-18/18다이메티콘,흰서양송로추출물,커먼자스민꽃추출물,연꽃꽃추출물,프리지어추출물,블루플래그아이리스추출물,에델바이스추출물,마돈나백합비늘줄기추출물,나팔수선화추출물,다마스크장미꽃추출물,옥틸도데칸올,마그네슘설페이트,폴리글리세릴-3폴리다이메틸실록시에틸다이메티콘,합성플루오르플로고파이트,알루미늄하이드록사이드,스테아릭애씨드,트라이에톡시카프릴릴실레인,알루미나,폴리글리세릴-4아이소스테아레이트,폴리하이드록시스테아릭애씨드,다이메티콘/비닐다이메티콘크로스폴리머,다이스 테아다이모늄헥토라이트,아이소프로필티타늄트라이아이소스테아레이트,아데노신,트라이소듐에틸렌다이아민다이석시네이트,네오펜틸글라이콜 다이에틸헥사노에이트,폴리글리세릴-10라우레이트,부틸렌글라이콜,에틸헥실글리세린,알지닌,카보머,향료,적색산화철 (CI 77491),흑색산화철 (CI 77499)",20대,복합성,3,9081
[한정기획]에뛰드 컬 픽스 마스카라 1+1 기획,15000,"에뛰드 컬픽스 마스카라 01 블랙.
아이소도데케인, 트라이메틸실록시실리케이트, 세레신, 덱스트린팔미테이트/에틸헥사노에이트, 탤크, 부틸아크릴레이트/하이드록시프로필다이메티콘아크릴레이트코폴리머, 마이 크로크리스탈린왁스, 흑색산화철, 다이스테아다이모늄헥토라이트, 폴리프로필실세스퀴옥세인, 프로필렌카보네이트, 하이드로제네이티드 폴리아이소부텐, 트라이에톡시카프릴릴실레인, 비에이치티

에뛰드 컬픽스 마스카라 02 브라운
아이소도데케인, 트라이메틸실록시실 리케이트, 세레신 , 덱스트린팔미테이트/에틸헥사노에이트, 탤크, 부틸아크릴레이트/하이드록시프로필다이메티콘아크릴레이트코폴리머, 마이크로크리스탈린왁스, 다이스테아다이모늄헥토라이트, 흑색산화철, 적색산화철, 폴리프로필실세스퀴옥세인, 프로필렌카보네이트, 하 이드로제네이티드폴리아이소부텐, 황색산화철, 트라이에톡시카프릴릴실레인, 비에이치티

에뛰드 컬픽스 마스카라 03 그레이 브라운
아이소도데케인, 트라이메틸실록시실리케이트, 세레신, 덱스트린팔미테이트/에틸헥사노에이트, 탤크, 아이소부틸메타크릴레이트/비스-하이드록시프로필다이메티콘아크릴레이트코폴리머, 마이크로크리스탈린왁스, 다이스테아다이모늄헥토라이트, 흑색산화철, 폴리프로필실세 스퀴옥세인, 프로필렌카보네이트, 하이드로제네이티드폴리아이소부텐, 황색산화철, 티타늄디옥사이드 (CI 77891), 적색산화철, 트라이에톡시카프릴릴실레인, 알루미늄하이드록사이드, 비에이치티",20대,복합성,4,20340
[퍼프 3매 세트 & 파우치 선착순 증정] 헤라 블랙 쿠션 (본품 15g+리필 15g),66000,"13N1

정제수, 사이클로펜타실록세인, 메틸트라이메티콘, 부틸렌글라이콜, 에칠헥실메톡시신나메이트, 티타늄디옥사이드 (CI 77891), 마이카, 사이클로헥사실록세인, 트라이메틸실록시실리케이트, 피이지-10다이메티콘, 다이스테아다이모늄헥토라이트, 폴리메틸메타크릴레이트, 징크옥사이드, 티타늄디옥사이드, 라우릴피이지-9폴리다이메틸실록시에틸다이메티콘, 다이메티콘, 아크릴레이트/에틸헥실아크릴레이트/다이메티콘메타크릴레이트코폴리머, 소 듐클로라이드, 아크릴레이트/스테아릴아크릴레이트/다이메티콘메타크릴레이트코폴리머, 황색산화철, 알루미늄하이드록사이드, 글리세린, 폴리실리콘-11, 폴리솔베이트40, 폴리솔베이트80, 향료, 카프릴릴글라이콜, 트라이에톡시카프릴릴실레인, 라우로일라이신, 스테아릭애 씨드, 하이드로제네이티드레시틴, 폴리하이드록시스테아릭애씨드, 적색산화철, 에틸헥실글리세린, 다이소듐이디티에이, 에틸헥실팔미테 이트, 레시틴, 아이소스테아릭애씨드, 아이소프로필팔미테이트, 흑색산화철, 폴리글리세릴-3폴리리시놀리에이트, 비에이치티, 토코페롤, 아이소프로필티타늄트라이아이소스테아레이트, 비스-피이지-15다이메티콘/아이피디아이코폴리머, 피이지-2소이아민
정제수, 사이클로 펜타실록세인, 메틸트라이메티콘, 부틸렌글라이콜, 에칠헥실메톡시신나메이트, 티타늄디옥사이드 (CI 77891), 마이카, 사이클로헥사실록세인, 트라이메틸실록시실리케이트, 피이지-10다이메티콘, 다이스테아다이모늄헥토라이트, 폴리메틸메타크릴레이트, 징크옥사이드, 티타늄디옥사이드, 라우릴피이지-9폴리다이메틸실록시에틸다이메티콘, 다이메티콘, 아크릴레이트/에틸헥실아크릴레이트/다이메티콘메타크릴 레이트코폴리머, 소듐클로라이드, 아크릴레이트/스테아릴아크릴레이트/다이메티콘메타크릴레이트코폴리머, 황색산화철, 알루미늄하이드 록사이드, 글리세린, 폴리실리콘-11, 폴리솔베이트40, 폴리솔베이트80, 향료, 카프릴릴글라이콜, 트라이에톡시카프릴릴실레인, 라우로일라이신, 스테아릭애씨드, 하이드로제네이티드레시틴, 폴리하이드록시스테아릭애씨드, 적색산화철, 에틸헥실글리세린, 다이소듐이디티에 이, 에틸헥실팔미테이트, 레시틴, 아이소스테아릭애씨드, 아이소프로필팔미테이트, 흑색산화철, 폴리글리세릴-3폴리리시놀리에이트, 비 에이치티, 토코페롤, 아이소프로필티타늄트라이아이소스테아레이트, 비스-피이지-15다이메티콘/아이피디아이코폴리머, 피이지-2소이아민
17N1

정제수, 사이클로펜타실록세인, 메틸트라이메티콘, 부틸렌글라이콜, 에칠헥실메톡시신나메이트, 티타늄디옥사이드 (CI 77891), 마이카, 사이클로헥사실록세인, 트라이메틸실록시실리케이트, 피이지-10다이메티콘, 다이스테아다이모늄헥토라이트, 폴리메틸메타크릴레이트, 징크옥사이드, 티타늄디옥사이드, 라우릴피이지-9폴리다이메틸실록시에틸다이메티콘, 다이메티콘, 아크릴레이트/에틸헥실아크릴레이트/다이메티콘메타크릴레이트코폴리머, 소듐클로라이드, 아크릴레이트/스테아릴아크릴레이트/다이메티콘메타크릴레이트코폴리머, 황색산화철, 알루미늄하이드록사이드, 글리세린, 폴리실리콘-11, 폴리솔베이트40, 폴리솔베이트80, 향료, 카프릴릴글라이콜, 트라이에톡시카프릴릴실레인, 라우로일라이신, 스테아릭애씨드, 하이드로제네이티드레시틴, 폴리하이드록시스테아릭애씨드, 적색산화철, 에틸헥실글 리세린, 다이소듐이디티에이, 에틸헥실팔미테이트, 레시틴, 아이소스테아릭애씨드, 아이소프로필팔미테이트, 흑색산화철, 폴리글리세릴-3폴리리시놀리에이트, 비에이치티, 토코페롤, 아이소프로필티타늄트라이아이소스테아레이트, 비스-피이지-15다이메티콘/아이피디아이코 폴리머, 피이지-2소이아민
21C1

정제수, 사이클로펜타실록세인, 메틸트라이메티콘, 부틸렌글라이콜, 에칠헥실메톡시신나메이트, 티 타늄디옥사이드 (CI 77891), 마이카, 사이클로헥사실록세인, 트라이메틸실록시실리케이트, 피이지-10다이메티콘, 다이스테아다이모늄헥 토라이트, 폴리메틸메타크릴레이트, 징크옥사이드, 티타늄디옥사이드, 라우릴피이지-9폴리다이메틸실록시에틸다이메티콘, 다이메티콘,  아크릴레이트/에틸헥실아크릴레이트/다이메티콘메타크릴레이트코폴리머, 소듐클로라이드, 아크릴레이트/스테아릴아크릴레이트/다이메티 콘메타크릴레이트코폴리머, 황색산화철, 알루미늄하이드록사이드, 글리세린, 폴리실리콘-11, 폴리솔베이트40, 폴리솔베이트80, 향료, 카프릴릴글라이콜, 트라이에톡시카프릴릴실레인, 라우로일라이신, 스테아릭애씨드, 하이드로제네이티드레시틴, 폴리하이드록시스테아릭애 씨드, 적색산화철, 에틸헥실글리세린, 다이소듐이디티에이, 에틸헥실팔미테이트, 레시틴, 아이소스테아릭애씨드, 아이소프로필팔미테이 트, 흑색산화철, 폴리글리세릴-3폴리리시놀리에이트, 비에이치티, 토코페롤, 아이소프로필티타늄트라이아이소스테아레이트, 비스-피이지-15다이메티콘/아이피디아이코폴리머, 피이지-2소이아민
21N1

정제수, 사이클로펜타실록세인, 메틸트라이메티콘, 부틸렌글라이콜,  에칠헥실메톡시신나메이트, 티타늄디옥사이드 (CI 77891), 마이카, 사이클로헥사실록세인, 트라이메틸실록시실리케이트, 피이지-10다이 메티콘, 다이스테아다이모늄헥토라이트, 폴리메틸메타크릴레이트, 징크옥사이드, 티타늄디옥사이드, 라우릴피이지-9폴리다이메틸실록시 에틸다이메티콘, 다이메티콘, 아크릴레이트/에틸헥실아크릴레이트/다이메티콘메타크릴레이트코폴리머, 소듐클로라이드, 아크릴레이트/스테아릴아크릴레이트/다이메티콘메타크릴레이트코폴리머, 황색산화철, 알루미늄하이드록사이드, 글리세린, 폴리실리콘-11, 폴리솔베이트40, 폴리솔베이트80, 향료, 카프릴릴글라이콜, 트라이에톡시카프릴릴실레인, 라우로일라이신, 스테아릭애씨드, 하이드로제네이티드레시틴, 폴리하이드록시스테아릭애씨드, 적색산화철, 에틸헥실글리세린, 다이소듐이디티에이, 에틸헥실팔미테이트, 레시틴, 아이소스테아릭애 씨드, 아이소프로필팔미테이트, 흑색산화철, 폴리글리세릴-3폴리리시놀리에이트, 비에이치티, 토코페롤, 아이소프로필티타늄트라이아이 소스테아레이트, 비스-피이지-15다이메티콘/아이피디아이코폴리머, 피이지-2소이아민
23C1

정제수, 사이클로펜타실록세인, 메틸트라이메티콘, 부틸렌글라이콜, 에칠헥실메톡시신나메이트, 티타늄디옥사이드 (CI 77891), 마이카, 사이클로헥사실록세인, 트라이메틸실록시실리케이트, 피이지-10다이메티콘, 다이스테아다이모늄헥토라이트, 폴리메틸메타크릴레이트, 징크옥사이드, 티타늄디옥사이드, 라우릴피이지-9폴리다이메틸실록시에틸다이메티콘, 다이메티콘, 아크릴레이트/에틸헥실아크릴레이트/다이메티콘메타크릴레이트코폴리머, 소듐클 로라이드, 아크릴레이트/스테아릴아크릴레이트/다이메티콘메타크릴레이트코폴리머, 황색산화철, 알루미늄하이드록사이드, 글리세린, 폴 리실리콘-11, 폴리솔베이트40, 폴리솔베이트80, 향료, 카프릴릴글라이콜, 트라이에톡시카프릴릴실레인, 라우로일라이신, 스테아릭애씨드, 하이드로제네이티드레시틴, 폴리하이드록시스테아릭애씨드, 적색산화철, 에틸헥실글리세린, 다이소듐이디티에이, 에틸헥실팔미테이트, 레시틴, 아이소스테아릭애씨드, 아이소프로필팔미테이트, 흑색산화철, 폴리글리세릴-3폴리리시놀리에이트, 비에이치티, 토코페롤, 아이소프로필티타늄트라이아이소스테아레이트, 비스-피이지-15다이메티콘/아이피디아이코폴리머, 피이지-2소이아민",30대,복합성,6,6094
